symbol,time,open,high,low,close,volume,value,source_index
LPB,2024-04-19,15.63,16.03,14.91,16.03,14683425,905.0,14
LPB,2024-04-22,16.03,16.23,15.71,16.19,8192822,-3064.0,14
LPB,2024-04-23,16.23,16.43,16.07,16.35,7832966,126.0,14
LPB,2024-04-24,16.43,16.79,16.35,16.79,5705685,-440.0,14
LPB,2024-04-25,16.91,16.95,16.43,16.59,4991372,51.0,14
LPB,2024-04-26,16.59,16.67,15.91,16.67,5822424,3.0,14
LPB,2024-05-02,16.67,16.75,16.35,16.35,2189798,1229.0,14
LPB,2024-05-03,16.27,16.59,15.95,16.11,3568722,-1467.0,14
LPB,2024-05-06,16.11,16.39,16.11,16.19,3206488,462.0,14
LPB,2024-05-07,16.23,16.63,16.11,16.27,3632596,-314.0,14
LPB,2024-05-08,16.27,16.67,16.19,16.19,3566714,-256.0,14
LPB,2024-05-09,16.35,16.35,15.87,15.95,3586437,535.0,14
LPB,2024-05-10,15.95,16.19,15.95,16.03,2002279,-362.0,14
LPB,2024-05-13,16.07,16.07,15.83,15.87,3088288,-101.0,14
LPB,2024-05-14,15.91,16.07,15.83,16.03,2951012,28.0,14
LPB,2024-05-15,16.03,16.71,16.03,16.43,11546566,-135.0,14
LPB,2024-05-16,16.71,17.55,16.55,17.55,12603636,2199.0,14
LPB,2024-05-17,17.79,18.58,17.71,18.5,9843149,-248.0,14
LPB,2024-05-20,18.74,18.98,18.18,18.34,7094764,417.0,14
LPB,2024-05-21,18.5,18.5,18.02,18.18,5857405,-1535.0,14
LPB,2024-05-22,18.26,18.98,18.14,18.54,5276896,175.0,14
LPB,2024-05-23,18.54,18.7,18.26,18.58,2883309,-931.0,14
LPB,2024-05-24,18.54,19.1,17.71,18.74,7737752,581.0,14
LPB,2024-05-27,18.5,18.74,18.46,18.7,1747834,549.0,14
LPB,2024-05-28,18.98,19.98,18.78,19.98,14984796,-99.0,14
LPB,2024-05-29,20.3,21.06,19.94,20.74,10422067,181.0,14
LPB,2024-05-30,20.5,21.14,20.34,20.78,7081863,562.0,14
LPB,2024-05-31,20.98,20.98,20.46,20.58,4372475,-1545.0,14
LPB,2024-06-03,20.86,20.9,20.5,20.58,4495868,1035.0,14
LPB,2024-06-04,20.7,20.7,20.38,20.58,4078375,417.0,14
LPB,2024-06-05,20.66,20.66,20.06,20.54,7698406,-1601.0,14
LPB,2024-06-06,20.54,21.37,20.42,20.82,6045733,-198.0,14
LPB,2024-06-07,20.94,21.21,20.66,20.86,2027622,566.0,14
LPB,2024-06-10,20.98,21.17,20.78,20.94,3630481,3121.0,14
LPB,2024-06-11,21.14,21.14,20.5,20.5,5283289,-957.0,14
LPB,2024-06-12,20.5,21.1,20.26,20.82,5443422,-2303.0,14
LPB,2024-06-13,20.9,21.21,20.82,21.21,3199775,-315.0,14
LPB,2024-06-14,21.37,22.21,21.25,21.93,8198669,693.0,14
LPB,2024-06-17,22.01,22.01,21.45,21.69,4135823,1034.0,14
LPB,2024-06-18,21.69,21.77,21.29,21.61,3418319,-1633.0,14
LPB,2024-06-19,21.61,21.65,21.21,21.57,4029852,51.0,14
LPB,2024-06-20,21.61,22.17,21.49,21.57,2616077,-117.0,14
LPB,2024-06-21,21.85,22.97,21.61,22.97,12565740,378.0,14
LPB,2024-06-24,23.29,23.37,21.93,22.53,6145650,646.0,14
LPB,2024-06-25,22.33,22.97,22.25,22.61,3510889,-597.0,14
LPB,2024-06-26,22.61,23.17,22.57,22.93,4505475,-235.0,14
LPB,2024-06-27,22.93,23.13,22.17,22.85,2532948,-196.0,14
LPB,2024-06-28,22.81,22.97,21.93,22.49,3932492,-36.0,14
LPB,2024-07-01,22.49,22.49,22.01,22.25,3136876,441.0,14
LPB,2024-07-02,22.73,23.69,22.29,23.61,6736573,2819.0,14
LPB,2024-07-03,23.85,24.13,23.73,24.09,7643426,-1006.0,14
LPB,2024-07-04,24.17,25.0,23.85,25.0,4610094,-1631.0,14
LPB,2024-07-05,25.0,26.32,24.68,25.68,10877287,499.0,14
LPB,2024-07-08,25.84,26.16,25.36,25.72,6037319,95.0,14
LPB,2024-07-09,25.68,25.92,25.24,25.48,5548958,-221.0,14
LPB,2024-07-10,25.48,25.48,24.88,24.88,3948294,-907.0,14
LPB,2024-07-11,24.88,25.36,24.48,24.92,3435379,877.0,14
LPB,2024-07-12,25.04,25.28,24.64,24.92,4556704,-9.0,14
LPB,2024-07-15,25.2,25.32,24.72,25.04,1693665,42.0,14
LPB,2024-07-16,25.28,25.48,24.88,25.2,2869905,-443.0,14
LPB,2024-07-17,25.2,25.52,24.48,25.52,7467723,-375.0,14
LPB,2024-07-18,25.52,25.52,24.96,25.44,1623877,312.0,14
LPB,2024-07-19,25.52,26.32,25.48,25.68,4691088,54.0,14
LPB,2024-07-22,25.36,25.84,24.44,25.32,9171486,287917.0,14
LPB,2024-07-23,25.36,25.76,24.84,25.32,6706753,-76208.0,14
LPB,2024-07-24,25.12,25.32,24.72,24.88,4344764,-76620.0,14
LPB,2024-07-25,24.8,24.92,24.25,24.25,3164679,-38568.0,14
LPB,2024-07-26,24.17,24.17,23.09,23.45,14361256,322813.0,14
LPB,2024-07-29,23.29,23.93,23.29,23.77,1262908,-382597.0,14
LPB,2024-07-30,23.85,23.89,23.25,23.53,1528370,7407.0,14
LPB,2024-07-31,23.53,23.53,23.21,23.25,2691822,33785.0,14
LPB,2024-08-01,23.37,23.69,22.65,23.13,3878365,33943.0,14
LPB,2024-08-02,22.81,23.13,22.45,22.73,3047572,-25816.0,14
LPB,2024-08-05,23.09,23.09,21.17,21.61,5594213,70024.0,14
LPB,2024-08-06,21.77,22.45,21.69,22.21,3568253,-58272.0,14
LPB,2024-08-07,22.37,22.85,22.37,22.53,1910803,-44334.0,14
LPB,2024-08-08,22.45,22.65,22.41,22.61,2608360,19415.0,14
LPB,2024-08-09,22.97,22.97,22.53,22.65,3077036,13734.0,14
LPB,2024-08-12,22.81,22.97,22.57,22.81,1728293,-38134.0,14
LPB,2024-08-13,22.89,23.37,22.77,22.97,2487697,22377.0,14
LPB,2024-08-14,23.13,23.29,22.81,22.97,2103192,-10961.0,14
LPB,2024-08-15,23.05,23.45,22.89,23.45,4395130,66793.0,14
LPB,2024-08-16,23.57,24.6,23.57,24.6,3149536,-32832.0,14
LPB,2024-08-19,24.68,25.36,24.68,25.12,3905442,28180.0,14
LPB,2024-08-20,25.2,25.32,24.88,24.88,3479055,-13314.0,14
LPB,2024-08-21,25.0,25.2,24.6,25.16,3065269,-13950.0,14
LPB,2024-08-22,25.04,25.32,24.8,25.28,2159720,-27627.0,14
LPB,2024-08-23,25.36,25.76,25.04,25.12,2258068,3622.0,14
LPB,2024-08-26,25.04,25.28,24.92,25.12,1282000,-31219.0,14
LPB,2024-08-27,24.96,25.28,24.88,24.96,1082829,-6372.0,14
LPB,2024-08-28,24.96,25.24,24.84,25.04,2366942,40459.0,14
LPB,2024-08-29,25.2,25.72,25.12,25.12,4973792,84015.0,14
LPB,2024-08-30,25.24,25.32,24.84,25.04,2133582,-91488.0,14
LPB,2024-09-04,24.8,25.04,24.6,24.6,2078375,-2465.0,14
LPB,2024-09-05,24.68,24.88,24.21,24.56,2614366,16004.0,14
LPB,2024-09-06,24.52,24.88,24.52,24.76,1335238,-39176.0,14
LPB,2024-09-09,24.84,24.84,24.56,24.56,702757,-19595.0,14
LPB,2024-09-10,24.64,24.88,24.48,24.68,1280767,17835.0,14
LPB,2024-09-11,24.68,24.72,24.41,24.56,899338,-11785.0,14
LPB,2024-09-12,24.72,24.76,24.48,24.48,814593,-2564.0,14
LPB,2024-09-13,24.48,24.64,24.29,24.29,674680,-4539.0,14
LPB,2024-09-16,24.29,24.56,24.09,24.09,1229605,16834.0,14
LPB,2024-09-17,24.09,24.48,24.09,24.48,1004927,-6827.0,14
LPB,2024-09-18,24.64,24.64,24.29,24.41,1688000,20985.0,14
LPB,2024-09-19,24.41,24.6,24.29,24.48,945020,-22702.0,14
LPB,2024-09-20,24.72,25.08,24.64,24.88,4282749,104465.0,14
LPB,2024-09-23,24.92,25.28,24.84,25.04,2528996,-54305.0,14
LPB,2024-09-24,25.04,25.28,24.88,25.28,1879814,-20036.0,14
LPB,2024-09-25,25.6,25.6,25.24,25.36,4191448,74083.0,14
LPB,2024-09-26,25.52,25.76,25.32,25.6,4220597,2200.0,14
LPB,2024-09-27,25.6,25.96,25.36,25.68,3672875,-17136.0,14
LPB,2024-09-30,25.72,25.8,25.32,25.48,2210747,-47498.0,14
LPB,2024-10-01,25.48,25.52,25.16,25.28,3928029,54055.0,14
LPB,2024-10-02,25.28,25.36,25.08,25.08,1392026,-80808.0,14
LPB,2024-10-03,25.08,25.48,24.92,25.0,2304928,28786.0,14
LPB,2024-10-04,24.96,25.12,24.76,25.12,2571712,7673.0,14
LPB,2024-10-07,25.4,25.52,25.24,25.32,1344683,-37647.0,14
LPB,2024-10-08,25.36,26.96,25.36,26.56,15970207,489600.0,14
LPB,2024-10-09,26.72,26.88,26.6,26.8,1805439,-471918.0,14
LPB,2024-10-10,26.96,27.32,26.48,26.56,4583301,94016.0,14
LPB,2024-10-11,26.56,26.72,26.16,26.2,2064604,-86422.0,14
LPB,2024-10-14,26.28,26.36,25.8,25.88,3363384,41285.0,14
LPB,2024-10-15,25.96,26.12,25.68,25.68,1868395,-48865.0,14
LPB,2024-10-16,25.56,25.72,25.32,25.32,2762506,27762.0,14
LPB,2024-10-17,25.36,25.6,25.28,25.6,1398270,-43674.0,14
LPB,2024-10-18,25.8,26.12,25.6,25.8,1691214,10132.0,14
LPB,2024-10-21,25.84,25.92,25.6,25.68,1461400,-7601.0,14
LPB,2024-10-22,25.68,25.72,24.96,25.28,4140538,84498.0,14
LPB,2024-10-23,25.4,25.52,25.2,25.4,1584672,-81261.0,14
LPB,2024-10-24,25.56,25.76,25.36,25.36,1329642,-7752.0,14
LPB,2024-10-25,25.44,25.64,25.28,25.6,1120648,-6799.0,14
LPB,2024-10-28,25.76,25.84,25.52,25.68,923581,-6089.0,14
LPB,2024-10-29,25.72,25.8,25.68,25.76,787078,-4290.0,14
LPB,2024-10-30,25.84,26.12,25.8,25.96,1330698,17835.0,14
LPB,2024-10-31,26.0,26.28,25.92,26.28,1352214,1038.0,14
LPB,2024-11-01,26.28,26.32,26.08,26.16,1565926,7221.0,14
LPB,2024-11-04,26.16,26.32,25.76,25.8,1169964,-13497.0,14
LPB,2024-11-05,25.88,26.2,25.84,25.84,1234100,2137.0,14
LPB,2024-11-06,26.16,26.16,25.8,25.96,493686,-24093.0,14
LPB,2024-11-07,25.96,26.16,25.92,26.0,885147,12808.0,14
LPB,2024-11-08,26.04,26.04,25.6,25.68,1475349,18823.0,14
LPB,2024-11-11,25.68,25.72,25.28,25.32,1547785,1639.0,14
LPB,2024-11-12,25.52,25.72,25.16,25.28,1122057,-13576.0,14
LPB,2024-11-13,25.32,25.44,25.04,25.36,1167253,1158.0,14
LPB,2024-11-14,25.48,25.52,25.0,25.04,958226,-6666.0,14
LPB,2024-11-15,25.04,25.16,24.68,25.08,1815371,26555.0,14
LPB,2024-11-18,25.12,25.44,24.84,25.08,1492214,-9942.0,14
LPB,2024-11-19,25.08,25.2,24.88,24.96,595836,-28112.0,14
LPB,2024-11-20,25.04,25.2,24.8,25.16,1130388,16742.0,14
LPB,2024-11-21,25.2,25.28,25.08,25.28,621125,-15831.0,14
LPB,2024-11-22,25.32,25.44,25.24,25.4,768196,4805.0,14
LPB,2024-11-25,25.44,25.44,25.32,25.4,313881,-14431.0,14
LPB,2024-11-26,25.44,25.48,25.32,25.44,793393,15277.0,14
LPB,2024-11-27,25.48,25.92,25.44,25.76,1138187,11460.0,14
LPB,2024-11-28,25.92,26.12,25.52,25.52,1804266,21437.0,14
LPB,2024-11-29,25.56,25.92,25.56,25.72,896191,-29215.0,14
LPB,2024-12-02,25.8,26.8,25.8,26.52,6923635,201812.0,14
LPB,2024-12-03,26.6,27.28,26.6,27.08,4701124,-71125.0,14
LPB,2024-12-04,27.12,27.48,26.56,26.68,3126508,-54281.0,14
LPB,2024-12-05,26.76,27.16,26.68,26.88,2379259,-25306.0,14
LPB,2024-12-06,27.12,27.6,26.88,27.32,2746124,13867.0,14
LPB,2024-12-09,27.52,27.6,27.16,27.24,1617245,-38565.0,14
LPB,2024-12-10,27.28,27.44,27.16,27.16,1093383,-17929.0,14
LPB,2024-12-11,27.2,27.44,26.76,26.8,1870827,25759.0,14
LPB,2024-12-12,26.84,26.92,26.4,26.4,2415885,17181.0,14
LPB,2024-12-13,26.48,26.68,26.24,26.44,1282293,-37864.0,14
LPB,2024-12-16,26.6,26.76,26.36,26.44,885016,-13121.0,14
LPB,2024-12-17,26.52,26.56,26.28,26.52,1037319,4917.0,14
LPB,2024-12-18,26.56,26.96,26.56,26.88,2078473,35605.0,14
LPB,2024-12-19,26.88,26.92,26.36,26.64,1535371,-18662.0,14
LPB,2024-12-20,26.64,26.76,26.36,26.64,972757,-18925.0,14
LPB,2024-12-23,26.8,26.84,26.52,26.72,1036169,2308.0,14
LPB,2024-12-24,26.76,26.8,26.4,26.76,1255787,7211.0,14
LPB,2024-12-25,26.8,27.6,26.76,27.32,4656288,117884.0,14
LPB,2024-12-26,27.44,27.48,27.04,27.04,2061690,-89408.0,14
LPB,2024-12-27,27.29,28.88,27.2,28.88,9368621,216762.0,14
LPB,2024-12-30,29.16,29.62,28.92,29.39,3352124,-181628.0,14
LPB,2024-12-31,29.39,29.48,29.06,29.11,2472496,-27951.0,14
LPB,2025-01-02,29.25,29.25,28.74,29.11,2570836,2310.0,14
LPB,2025-01-03,29.16,29.16,28.22,28.32,4898969,70145.0,14
LPB,2025-01-06,28.36,28.6,27.94,28.22,2192306,-83601.0,14
LPB,2025-01-07,28.27,28.88,28.18,28.6,1885377,-8591.0,14
LPB,2025-01-08,28.64,28.88,28.41,28.78,905741,-29902.0,14
LPB,2025-01-09,28.83,28.88,28.46,28.5,1025854,3619.0,14
LPB,2025-01-10,28.55,28.55,27.99,28.13,1887168,25651.0,14
LPB,2025-01-13,28.13,28.6,27.67,28.6,2609588,21088.0,14
LPB,2025-01-14,28.6,29.2,28.6,28.74,1099306,-44231.0,14
LPB,2025-01-15,28.92,29.02,28.64,28.88,1016603,-2471.0,14
LPB,2025-01-16,29.06,29.62,29.02,29.3,1236768,7360.0,14
LPB,2025-01-17,29.34,29.81,29.16,29.71,1841505,19411.0,14
LPB,2025-01-20,29.71,29.99,29.48,29.48,1250062,-18483.0,14
LPB,2025-01-21,29.53,29.9,29.53,29.67,2018981,24550.0,14
LPB,2025-01-22,29.76,31.16,29.76,31.11,6974107,166631.0,14
LPB,2025-01-23,31.3,33.16,31.3,32.88,5490119,-41368.0,14
LPB,2025-01-24,32.93,33.63,32.84,33.39,14666497,335859.0,14
LPB,2025-02-03,33.39,33.39,32.46,32.7,4009761,-384285.0,14
LPB,2025-02-04,33.35,33.35,32.28,32.7,2683934,-47376.0,14
LPB,2025-02-05,32.88,33.63,32.79,33.44,5873046,116690.0,14
LPB,2025-02-06,33.53,34.23,33.44,34.0,3452041,-84646.0,14
LPB,2025-02-07,34.0,34.47,33.72,34.0,2459685,-35698.0,14
LPB,2025-02-10,33.91,34.28,33.49,34.05,2448222,-1427.0,14
LPB,2025-02-11,34.05,34.51,33.91,34.47,2460669,1642.0,14
LPB,2025-02-12,34.51,35.3,34.51,34.79,2737522,12592.0,14
LPB,2025-02-13,34.79,35.26,34.51,35.12,2539761,-8495.0,14
LPB,2025-02-14,35.68,35.68,34.65,34.93,2778152,9955.0,14
LPB,2025-02-17,34.93,35.02,34.56,34.7,1593750,-45175.0,14
LPB,2025-02-18,34.88,34.88,34.0,34.09,3468499,68224.0,14
LPB,2025-02-19,34.14,34.47,33.81,34.19,3514088,1258.0,14
LPB,2025-02-20,34.19,34.47,33.77,33.81,3892939,12960.0,14
LPB,2025-02-21,33.91,34.23,33.81,33.91,1528767,-86111.0,14
LPB,2025-02-24,33.86,34.42,33.67,34.28,4045128,92446.0,14
LPB,2025-02-25,34.37,34.7,34.28,34.33,3531481,-17451.0,14
LPB,2025-02-26,34.56,34.65,34.09,34.37,2233719,-48293.0,14
LPB,2025-02-27,34.37,34.37,33.81,34.23,2385626,4753.0,14
LPB,2025-02-28,34.14,34.19,33.58,33.67,2998966,21413.0,14
LPB,2025-03-03,33.77,33.77,33.16,33.44,3783803,26836.0,14
LPB,2025-03-04,33.3,33.35,32.74,33.07,5109102,45092.0,14
LPB,2025-03-05,33.07,34.09,33.07,33.35,2322263,-96704.0,14
LPB,2025-03-06,33.58,33.58,33.07,33.11,1829012,-18458.0,14
LPB,2025-03-07,33.07,33.49,32.98,32.98,3127803,45799.0,14
LPB,2025-03-10,32.98,33.39,32.42,32.42,4067031,31730.0,14
LPB,2025-03-11,32.28,32.51,31.76,32.28,3777031,-13023.0,14
LPB,2025-03-12,32.28,32.93,31.9,32.88,2721597,-35357.0,14
LPB,2025-03-13,32.88,33.02,32.51,32.88,2548297,-4763.0,14
LPB,2025-03-14,32.98,32.98,32.56,32.56,1435880,-39267.0,14
LPB,2025-03-17,32.56,32.6,32.09,32.32,2033686,20132.0,14
LPB,2025-03-18,32.32,33.39,32.04,32.98,5129008,110714.0,14
LPB,2025-03-19,32.98,33.81,32.98,33.49,6292091,44821.0,14
LPB,2025-03-20,33.72,33.72,33.11,33.11,2565735,-134290.0,14
LPB,2025-03-21,33.11,33.11,32.42,32.42,2546556,-2492.0,14
LPB,2025-03-24,32.42,32.42,31.39,31.81,8074015,184462.0,14
LPB,2025-03-25,31.81,32.0,31.48,31.67,2533434,-187747.0,14
LPB,2025-03-26,31.67,31.81,31.16,31.16,2581228,1050.0,14
LPB,2025-03-27,31.3,31.3,30.74,30.74,1952703,-22245.0,14
LPB,2025-03-28,30.74,31.21,30.74,31.16,1421365,-17474.0,14
LPB,2025-03-31,31.16,31.16,30.55,30.97,2414906,32384.0,14
LPB,2025-04-01,30.97,31.21,30.93,31.11,1108014,-42757.0,14
LPB,2025-04-02,31.21,31.3,30.83,30.83,1854506,24736.0,14
LPB,2025-04-03,30.65,30.65,28.69,28.69,6205522,137358.0,14
LPB,2025-04-04,27.01,30.69,27.01,30.69,9438931,94012.0,14
LPB,2025-04-08,30.69,30.69,28.55,29.06,3774026,-173633.0,14
LPB,2025-04-09,28.32,30.27,27.94,29.34,5336364,47680.0,14
LPB,2025-04-10,31.39,31.39,31.39,31.39,475841,-151073.0,14
LPB,2025-04-11,29.81,31.9,29.81,31.86,7074578,219274.0,14
LPB,2025-04-14,31.58,31.67,31.39,31.53,2162566,-162005.0,14
LPB,2025-04-15,31.3,31.58,30.32,30.88,3980555,58879.0,14
LPB,2025-04-16,30.74,31.16,30.41,30.41,1647095,-77733.0,14
LPB,2025-04-17,30.74,32.14,30.51,31.3,4121444,82698.0,14
LPB,2025-04-18,31.48,32.18,31.34,31.58,4147085,4500.0,14
LPB,2025-04-21,31.62,31.62,30.74,30.79,2598389,-55215.0,14
LPB,2025-04-22,30.69,31.07,28.64,30.97,4882730,70021.0,14
LPB,2025-04-23,31.11,31.48,31.02,31.02,2720219,-65203.0,14
LPB,2025-04-24,30.93,31.16,30.74,30.74,2143761,-20208.0,14
LPB,2025-04-25,30.55,30.88,29.85,30.09,6343435,134525.0,14
LPB,2025-04-28,30.65,30.65,29.9,30.55,1558116,-154889.0,14
LPB,2025-04-29,30.55,30.97,30.32,30.32,1144622,-12996.0,14
LPB,2025-05-05,30.27,30.51,29.81,29.95,1497068,10527.11,14
LPB,2025-05-06,30.09,30.23,29.58,29.58,2703957,38427.25,14
LPB,2025-05-07,29.67,30.13,29.53,29.99,2003316,-22317.355000000003,14
LPB,2025-05-08,30.51,31.3,30.51,30.79,3866126,63603.96,14
