symbol,time,open,high,low,close,volume,value,source_index
SAB,2024-04-19,45.23,45.4,43.8,44.22,1186092,226.0,17
SAB,2024-04-22,44.98,45.23,44.64,44.81,357262,184.0,17
SAB,2024-04-23,45.06,45.15,44.05,44.64,374165,-79.0,17
SAB,2024-04-24,44.89,45.31,44.72,45.15,467705,-445.0,17
SAB,2024-04-25,45.15,46.75,45.15,45.82,1108298,478.0,17
SAB,2024-04-26,45.82,46.58,45.57,45.82,705831,-431.0,17
SAB,2024-05-02,45.99,47.76,45.9,47.67,1581939,-98.0,17
SAB,2024-05-03,48.01,48.09,47.67,47.76,785771,951.0,17
SAB,2024-05-06,47.76,48.43,47.59,48.01,885971,-720.0,17
SAB,2024-05-07,48.01,48.77,47.59,48.6,914627,-249.0,17
SAB,2024-05-08,48.51,50.54,48.01,49.61,2245283,525.0,17
SAB,2024-05-09,49.61,49.69,48.43,48.51,1041286,-252.0,17
SAB,2024-05-10,48.6,48.94,48.26,48.51,785226,51.0,17
SAB,2024-05-13,48.51,48.77,47.76,47.92,726625,477.0,17
SAB,2024-05-14,48.01,48.43,47.92,48.09,479856,-739.0,17
SAB,2024-05-15,48.18,48.85,48.18,48.51,897218,115.0,17
SAB,2024-05-16,48.6,48.94,48.43,48.43,770210,770.0,17
SAB,2024-05-17,48.68,49.61,48.43,48.94,1435808,-675.0,17
SAB,2024-05-20,48.94,49.53,48.68,48.68,669938,-190.0,17
SAB,2024-05-21,48.68,49.53,48.43,48.85,1172188,5.0,17
SAB,2024-05-22,49.1,49.36,48.43,48.43,928020,765.0,17
SAB,2024-05-23,48.68,50.28,48.43,50.11,1913528,-753.0,17
SAB,2024-05-24,50.11,50.11,48.68,48.85,1323587,814.0,17
SAB,2024-05-27,48.85,49.36,48.85,49.27,654768,-344.0,17
SAB,2024-05-28,49.44,51.38,49.19,51.38,2527809,-579.0,17
SAB,2024-05-29,51.38,51.63,50.79,50.96,1469001,1534.0,17
SAB,2024-05-30,50.2,50.54,49.1,49.95,1668613,428.0,17
