symbol,time,open,high,low,close,volume,value,source_index
MSN,2024-04-19,66.0,67.9,65.9,66.5,4770273,4864.0,20
MSN,2024-04-22,67.3,67.5,66.7,66.9,2933819,-4712.0,20
MSN,2024-04-23,67.7,67.7,64.5,64.7,5050108,2107.0,20
MSN,2024-04-24,65.5,67.5,65.2,66.9,3278134,-1857.0,20
MSN,2024-04-25,67.2,68.5,66.2,68.1,6077618,1610.0,20
MSN,2024-04-26,67.5,68.3,67.1,67.2,3594523,-1545.0,20
MSN,2024-05-02,67.8,68.0,67.1,68.0,2281123,401.0,20
MSN,2024-05-03,68.6,70.9,68.1,69.8,7052700,972.0,20
MSN,2024-05-06,70.7,71.3,70.1,71.1,5108379,223.0,20
MSN,2024-05-07,71.4,71.5,70.5,71.2,3246739,-1202.0,20
MSN,2024-05-08,70.9,73.2,70.2,72.3,6126435,906.0,20
MSN,2024-05-09,72.1,73.8,70.6,71.4,7169523,6281.0,20
MSN,2024-05-10,71.4,71.9,70.6,70.8,3716654,-7109.0,20
MSN,2024-05-13,70.9,71.7,70.3,70.8,2573753,-1476.0,20
MSN,2024-05-14,71.0,71.4,70.1,70.6,3694014,-42.0,20
MSN,2024-05-15,72.0,73.3,71.9,72.2,6891202,17313.0,20
MSN,2024-05-16,72.9,73.0,72.0,72.4,4047789,-12672.0,20
MSN,2024-05-17,72.6,76.0,72.4,75.5,12306604,-2418.0,20
MSN,2024-05-20,76.5,77.3,75.7,76.4,7874086,3416.0,20
MSN,2024-05-21,76.2,76.5,74.9,75.8,5882505,-3988.0,20
MSN,2024-05-22,76.0,76.4,73.8,73.9,8357762,648.0,20
MSN,2024-05-23,73.9,75.8,73.2,75.8,6130514,-61.0,20
MSN,2024-05-24,75.5,76.3,73.1,73.5,7673498,796.0,20
MSN,2024-05-27,73.5,74.0,72.7,73.5,3882989,2797.0,20
MSN,2024-05-28,74.2,75.5,73.8,75.5,5102510,-3863.0,20
MSN,2024-05-29,75.7,76.9,75.0,75.0,8006989,4884.0,20
MSN,2024-05-30,74.3,77.4,74.1,77.2,11166493,-4345.0,20
MSN,2024-05-31,78.0,78.4,76.6,76.6,5595715,6040.0,20
MSN,2024-06-03,77.3,78.5,76.8,77.7,6573174,-4836.0,20
MSN,2024-06-04,78.0,78.0,77.1,77.5,4406508,-2534.0,20
MSN,2024-06-05,77.5,79.4,77.5,78.1,7554420,-322.0,20
MSN,2024-06-06,78.4,78.8,77.5,78.1,4729661,-171.0,20
MSN,2024-06-07,78.5,78.6,77.0,77.6,4623406,1203.0,20
MSN,2024-06-10,77.6,78.0,76.8,77.1,5326734,987.0,20
MSN,2024-06-11,77.2,77.5,75.7,75.8,6576192,-41.0,20
MSN,2024-06-12,76.0,78.1,76.0,77.8,5840342,30710.0,20
MSN,2024-06-13,78.5,78.8,78.0,78.6,6213337,-26279.0,20
MSN,2024-06-14,78.7,80.3,78.0,78.0,9032419,-6913.0,20
MSN,2024-06-17,78.0,78.0,76.2,76.2,6245413,1028.0,20
MSN,2024-06-18,76.2,77.3,76.2,76.2,4128321,7824.0,20
MSN,2024-06-19,76.7,76.7,74.9,75.6,6660696,-9385.0,20
MSN,2024-06-20,75.6,76.2,75.1,75.8,4160627,953.0,20
MSN,2024-06-21,75.8,77.5,75.5,76.2,3975586,1475.0,20
MSN,2024-06-24,75.5,76.3,73.7,73.7,8308432,3967.0,20
MSN,2024-06-25,74.2,74.5,73.6,73.9,5263987,-6196.0,20
MSN,2024-06-26,73.9,74.5,73.1,74.0,3529642,411.0,20
MSN,2024-06-27,73.9,75.2,73.6,74.5,3766775,59.0,20
MSN,2024-06-28,74.6,76.2,74.5,74.7,6407974,-123.0,20
MSN,2024-07-01,74.7,76.2,74.7,76.0,2945954,972.0,20
MSN,2024-07-02,76.1,76.8,76.0,76.3,2696760,-1293.0,20
MSN,2024-07-03,76.5,76.6,75.8,76.5,2552246,440.0,20
MSN,2024-07-04,76.9,77.8,76.5,76.8,6267528,2036.0,20
MSN,2024-07-05,77.0,77.0,76.3,76.7,2540624,-2121.0,20
MSN,2024-07-08,77.0,77.0,75.7,76.2,5963409,1292.0,20
MSN,2024-07-09,76.2,76.5,75.5,76.5,5984216,-854.0,20
MSN,2024-07-10,76.6,77.5,76.4,76.8,5384750,989.0,20
MSN,2024-07-11,77.2,77.2,75.8,75.8,3835174,-444.0,20
MSN,2024-07-12,75.8,76.1,74.6,74.8,4443287,834.0,20
MSN,2024-07-15,74.8,75.0,74.2,74.5,2889612,2079.0,20
MSN,2024-07-16,74.7,75.3,73.8,74.0,4287924,-4511.0,20
MSN,2024-07-17,74.3,74.3,71.0,71.8,5877862,331.0,20
MSN,2024-07-18,71.8,72.3,70.2,71.2,7526296,1416.0,20
MSN,2024-07-19,71.5,71.6,70.7,71.0,4787168,-545.0,20
MSN,2024-07-22,71.1,72.6,70.4,72.2,4071154,289786.0,20
MSN,2024-07-23,72.4,72.4,70.1,71.0,3377609,-51124.0,20
MSN,2024-07-24,70.8,72.2,70.2,71.5,3436896,4327.0,20
MSN,2024-07-25,71.1,71.4,70.8,71.0,1646306,-127688.0,20
MSN,2024-07-26,71.0,74.0,71.0,74.0,7229400,409435.0,20
MSN,2024-07-29,74.8,74.9,73.7,74.0,3719200,-249896.0,20
MSN,2024-07-30,74.0,75.3,73.8,74.6,5717400,150130.0,20
MSN,2024-07-31,75.0,75.0,74.1,74.1,3565400,-160747.0,20
MSN,2024-08-01,74.1,74.9,70.8,71.8,7659500,295979.0,20
MSN,2024-08-02,71.0,73.2,71.0,72.2,5314700,-178338.0,20
MSN,2024-08-05,71.3,72.7,70.2,70.5,6260600,60987.0,20
MSN,2024-08-06,71.0,73.4,70.5,73.2,5272100,-64456.0,20
MSN,2024-08-07,73.3,73.5,72.2,73.0,3653400,-113945.0,20
MSN,2024-08-08,73.0,75.6,72.7,74.5,9533100,445697.0,20
MSN,2024-08-09,74.6,75.3,74.5,75.2,3965800,-414805.0,20
MSN,2024-08-12,75.5,76.2,74.3,75.2,4458500,38234.0,20
MSN,2024-08-13,75.0,75.2,73.8,74.8,4760200,18831.0,20
MSN,2024-08-14,75.2,77.3,74.9,76.5,10253700,431118.0,20
MSN,2024-08-15,76.7,76.7,75.0,75.0,3319900,-534233.0,20
MSN,2024-08-16,75.4,77.5,75.2,77.3,8146700,373203.0,20
MSN,2024-08-19,77.8,79.0,77.1,77.8,5460700,-197214.0,20
MSN,2024-08-20,77.7,79.1,77.5,77.6,5748400,21419.0,20
MSN,2024-08-21,77.6,78.5,77.1,77.5,4523300,-97035.0,20
MSN,2024-08-22,77.7,79.6,77.3,78.0,6729800,175804.0,20
MSN,2024-08-23,78.4,79.0,77.4,77.9,4063000,-210169.0,20
MSN,2024-08-26,78.1,78.2,76.2,76.2,7989100,298322.0,20
MSN,2024-08-27,76.3,76.8,75.6,76.8,5246000,-215643.0,20
MSN,2024-08-28,77.0,77.9,76.8,77.1,4558700,-47582.0,20
MSN,2024-08-29,77.4,77.5,76.8,76.9,1890900,-206402.0,20
MSN,2024-08-30,77.1,77.6,76.5,76.5,3214000,101566.0,20
MSN,2024-09-04,75.3,76.0,75.2,75.3,4905100,122926.0,20
MSN,2024-09-05,75.2,75.9,74.1,74.1,5019900,6233.0,20
MSN,2024-09-06,74.2,76.0,74.0,76.0,4443500,-42765.0,20
MSN,2024-09-09,75.8,75.9,75.1,75.4,3747400,-51121.0,20
MSN,2024-09-10,75.5,77.0,75.2,75.2,5918100,166786.0,20
MSN,2024-09-11,75.2,75.7,74.8,75.1,2637200,-250970.0,20
MSN,2024-09-12,75.6,75.8,74.9,75.1,1664500,-72934.0,20
MSN,2024-09-13,75.1,75.4,74.2,74.2,2857800,88055.0,20
MSN,2024-09-16,74.2,74.6,72.8,72.9,5065500,158465.0,20
MSN,2024-09-17,73.0,74.5,72.8,74.5,2785100,-167112.0,20
MSN,2024-09-18,74.7,75.3,74.4,74.4,2719900,-1426.0,20
MSN,2024-09-19,74.5,74.8,74.0,74.4,2663300,-5352.0,20
MSN,2024-09-20,75.0,75.7,74.6,74.7,4014300,103354.0,20
MSN,2024-09-23,74.7,75.3,74.4,74.4,1836800,-164144.0,20
MSN,2024-09-24,74.4,74.8,74.0,74.8,3044400,89053.0,20
MSN,2024-09-25,75.1,75.8,75.1,75.5,5135300,161306.0,20
MSN,2024-09-26,75.8,76.4,75.7,76.1,4617400,-36673.0,20
MSN,2024-09-27,76.3,76.4,75.2,75.9,3725200,-68934.0,20
MSN,2024-09-30,75.9,76.6,75.6,75.7,3473400,-17810.0,20
MSN,2024-10-01,75.8,77.4,75.8,76.6,6912000,267231.0,20
MSN,2024-10-02,76.3,76.5,76.0,76.0,2345800,-352596.0,20
MSN,2024-10-03,76.0,77.3,76.0,76.0,7165200,370979.0,20
MSN,2024-10-04,76.0,76.4,75.5,75.6,3189400,-307702.0,20
MSN,2024-10-07,76.0,76.3,74.5,74.8,4123200,67752.0,20
MSN,2024-10-08,75.0,75.4,74.6,75.2,2771300,-102110.0,20
MSN,2024-10-09,75.3,77.1,75.1,77.0,8346300,431197.0,20
MSN,2024-10-10,78.0,80.5,77.9,80.0,19870800,939115.0,20
MSN,2024-10-11,80.2,81.1,79.5,81.1,6900400,-1023970.0,20
MSN,2024-10-14,82.0,82.1,80.1,80.3,5907400,-76202.0,20
MSN,2024-10-15,80.3,81.5,80.2,80.8,6647800,59074.0,20
MSN,2024-10-16,80.8,82.3,80.0,80.4,8065600,116517.0,20
MSN,2024-10-17,80.6,81.0,79.3,81.0,5878300,-182913.0,20
MSN,2024-10-18,81.3,81.4,80.3,80.4,5100500,-58538.0,20
MSN,2024-10-21,80.1,81.2,79.7,80.2,5181300,4825.0,20
MSN,2024-10-22,80.0,80.4,78.5,78.9,7311400,164574.0,20
MSN,2024-10-23,79.0,80.1,78.3,79.4,4189400,-249346.0,20
MSN,2024-10-24,79.5,80.6,78.5,78.5,5506000,105540.0,20
MSN,2024-10-25,79.1,79.3,77.2,77.2,10132900,351421.0,20
MSN,2024-10-28,77.2,77.9,76.3,77.9,5735500,-347869.0,20
MSN,2024-10-29,78.1,78.2,77.3,78.0,3292200,-184989.0,20
MSN,2024-10-30,78.0,78.1,76.8,78.1,5638600,180886.0,20
MSN,2024-10-31,77.3,77.4,76.0,76.6,8540200,217337.0,20
MSN,2024-11-01,76.1,76.4,74.2,74.5,13047900,325817.0,20
MSN,2024-11-04,74.5,74.7,73.1,73.2,8323700,-366943.0,20
MSN,2024-11-05,73.2,73.7,73.0,73.1,4967700,-249129.0,20
MSN,2024-11-06,73.5,74.4,73.3,74.2,6268000,98621.0,20
MSN,2024-11-07,74.3,74.4,73.3,73.3,4433800,-135704.0,20
MSN,2024-11-08,73.3,73.6,72.2,72.3,7811800,240908.0,20
MSN,2024-11-11,72.3,73.7,71.3,73.5,8239800,28144.0,20
MSN,2024-11-12,73.5,73.9,72.4,72.5,3990400,-304991.0,20
MSN,2024-11-13,72.3,73.1,71.9,73.0,4122600,7544.0,20
MSN,2024-11-14,72.6,73.2,71.4,71.4,4521100,28327.0,20
MSN,2024-11-15,71.1,71.7,70.6,70.6,5685500,77876.0,20
