symbol,time,open,high,low,close,volume,value,source_index
MBB,2024-04-19,14.43,14.88,14.43,14.5,28198450,9735.0,21
MBB,2024-04-22,14.56,14.72,14.4,14.43,17597158,-6655.0,21
MBB,2024-04-23,14.43,14.5,13.89,14.05,32023030,-4494.0,21
MBB,2024-04-24,14.18,14.46,14.02,14.4,18659959,-2202.0,21
MBB,2024-04-25,14.43,14.43,14.15,14.21,13013555,430.0,21
MBB,2024-04-26,14.05,14.34,14.05,14.21,13341688,5818.0,21
MBB,2024-05-02,14.24,14.4,14.18,14.31,11086274,-6804.0,21
MBB,2024-05-03,14.43,14.56,14.24,14.31,11871296,168.0,21
MBB,2024-05-06,14.4,14.66,14.4,14.62,16209008,1068.0,21
MBB,2024-05-07,14.69,14.72,14.46,14.53,9613154,980.0,21
MBB,2024-05-08,14.31,14.5,14.24,14.4,21448960,13709.0,21
MBB,2024-05-09,14.43,14.56,14.27,14.46,15652336,-15778.0,21
MBB,2024-05-10,14.53,14.62,14.37,14.43,11428090,3160.0,21
MBB,2024-05-13,14.43,14.69,14.43,14.46,14013618,-2708.0,21
MBB,2024-05-14,14.62,14.82,14.5,14.59,16678594,8678.0,21
MBB,2024-05-15,14.66,14.72,14.56,14.62,15307453,-7718.0,21
MBB,2024-05-16,14.78,15.04,14.69,14.94,31443092,5028.0,21
MBB,2024-05-17,14.98,14.98,14.78,14.85,15476686,-2627.0,21
MBB,2024-05-20,15.07,15.07,14.94,14.98,17936337,7160.0,21
MBB,2024-05-21,14.98,15.07,14.85,15.07,16412706,-9523.0,21
MBB,2024-05-22,15.07,15.1,14.82,14.82,20054617,133.0,21
MBB,2024-05-23,14.82,14.91,14.69,14.88,13091484,4159.0,21
MBB,2024-05-24,14.72,15.21,14.46,14.65,36377620,-3301.0,21
MBB,2024-05-27,14.75,14.75,14.59,14.65,8003794,-2068.0,21
MBB,2024-05-28,14.82,14.85,14.59,14.75,13116644,3287.0,21
MBB,2024-05-29,14.75,14.78,14.56,14.56,17118183,-4103.0,21
MBB,2024-05-30,14.43,14.46,14.16,14.26,28835478,5480.0,21
MBB,2024-05-31,14.26,14.36,14.2,14.2,14941078,-4868.0,21
MBB,2024-06-03,14.33,14.88,14.33,14.75,24716955,1666.0,21
MBB,2024-06-04,14.85,14.88,14.69,14.69,9047421,-2370.0,21
MBB,2024-06-05,14.72,14.82,14.49,14.49,13668186,-1073.0,21
MBB,2024-06-06,14.62,14.75,14.56,14.59,10020406,904.0,21
MBB,2024-06-07,14.72,14.78,14.56,14.65,8482497,501.0,21
MBB,2024-06-10,14.72,14.95,14.69,14.78,13358279,764.0,21
MBB,2024-06-11,14.78,14.82,14.65,14.72,10568625,-1183.0,21
MBB,2024-06-12,14.72,15.08,14.62,15.08,25214435,-806.0,21
MBB,2024-06-13,15.14,15.47,15.11,15.37,38976592,7468.0,21
MBB,2024-06-14,15.67,15.67,15.08,15.08,25542079,23246.0,21
MBB,2024-06-17,15.27,15.27,14.98,15.18,17069584,-14755.0,21
MBB,2024-06-18,15.34,15.37,15.18,15.18,11969009,-9720.0,21
MBB,2024-06-19,15.27,15.31,15.05,15.21,13286596,-615.0,21
MBB,2024-06-20,15.27,15.31,15.11,15.18,13702543,3800.0,21
MBB,2024-06-21,15.18,15.24,15.08,15.14,10140302,-7002.0,21
MBB,2024-06-24,15.08,15.14,14.72,14.78,25446830,-1057.0,21
MBB,2024-06-25,14.82,14.91,14.69,14.75,8889749,-880.0,21
MBB,2024-06-26,14.75,14.78,14.59,14.69,11091567,-44.0,21
MBB,2024-06-27,14.65,14.75,14.62,14.69,6174626,2743.0,21
MBB,2024-06-28,14.72,14.72,14.49,14.49,9579960,-3572.0,21
MBB,2024-07-01,14.52,14.65,14.46,14.65,4136928,1938.0,21
MBB,2024-07-02,14.69,14.91,14.65,14.82,9938844,-1633.0,21
MBB,2024-07-03,14.88,14.98,14.75,14.95,7028764,-609.0,21
MBB,2024-07-04,14.95,15.01,14.75,14.88,5719469,1902.0,21
MBB,2024-07-05,14.88,14.91,14.75,14.88,6236345,-1596.0,21
MBB,2024-07-08,14.88,14.98,14.75,14.82,7049893,187.0,21
MBB,2024-07-09,14.88,15.11,14.78,15.11,13438223,-114.0,21
MBB,2024-07-10,15.11,15.4,15.11,15.21,19203550,4674.0,21
MBB,2024-07-11,15.31,15.34,15.08,15.08,7704598,-2285.0,21
MBB,2024-07-12,14.98,15.14,14.95,15.01,7374903,11442.0,21
MBB,2024-07-15,15.05,15.14,14.98,15.05,4415665,-13774.0,21
MBB,2024-07-16,15.08,15.63,15.05,15.37,24783499,11.0,21
MBB,2024-07-17,15.53,16.42,15.37,15.99,72405922,7561.0,21
MBB,2024-07-18,16.06,16.32,15.73,16.25,30097105,-2453.0,21
MBB,2024-07-19,16.25,16.74,16.19,16.58,45611683,-1226.0,21
MBB,2024-07-22,16.51,16.81,16.09,16.45,33834188,846743.0,21
MBB,2024-07-23,16.55,16.55,15.53,15.6,47919083,317483.0,21
MBB,2024-07-24,15.53,15.83,15.44,15.63,25855244,-551121.0,21
MBB,2024-07-25,15.57,15.73,15.34,15.63,20398415,-134115.0,21
MBB,2024-07-26,15.6,15.89,15.57,15.86,12168715,-189793.0,21
MBB,2024-07-29,15.96,15.96,15.73,15.73,9512540,-63235.0,21
MBB,2024-07-30,15.73,15.99,15.57,15.99,19583387,241206.0,21
MBB,2024-07-31,15.99,16.25,15.8,15.93,20410079,30512.0,21
MBB,2024-08-01,15.93,16.02,15.18,15.27,32358306,269162.0,21
MBB,2024-08-02,15.01,15.53,15.01,15.53,23779331,-218959.0,21
MBB,2024-08-05,15.05,15.37,14.88,14.98,31241271,169982.0,21
MBB,2024-08-06,15.14,15.34,15.01,15.27,16972175,-327778.0,21
MBB,2024-08-07,15.27,15.34,15.14,15.24,10216474,-156445.0,21
MBB,2024-08-08,15.21,15.34,15.01,15.05,10212863,-1123.0,21
MBB,2024-08-09,15.14,15.34,15.14,15.31,8477126,-39191.0,21
MBB,2024-08-12,15.34,15.47,15.24,15.47,10241513,42334.0,21
MBB,2024-08-13,15.44,15.5,15.27,15.4,6727761,-81789.0,21
MBB,2024-08-14,15.5,15.5,15.27,15.27,6580431,-3691.0,21
MBB,2024-08-15,15.27,15.37,15.18,15.18,7890000,29335.0,21
MBB,2024-08-16,15.27,15.73,15.24,15.7,21017260,317985.0,21
MBB,2024-08-19,15.73,15.83,15.63,15.7,8951095,-286966.0,21
MBB,2024-08-20,15.73,15.99,15.7,15.83,16392129,181858.0,21
MBB,2024-08-21,15.83,16.19,15.7,16.15,21539799,129279.0,21
MBB,2024-08-22,16.22,16.25,15.93,15.93,13079945,-204090.0,21
MBB,2024-08-23,15.93,16.09,15.86,16.02,9582435,-87523.0,21
MBB,2024-08-26,16.12,16.19,15.86,15.96,10226256,16052.0,21
MBB,2024-08-27,15.89,15.99,15.86,15.93,10104298,-4440.0,21
MBB,2024-08-28,15.96,16.12,15.89,16.09,12101911,50281.0,21
MBB,2024-08-29,16.09,16.45,16.09,16.22,22629059,268196.0,21
MBB,2024-08-30,16.22,16.32,16.19,16.22,8876382,-344214.0,21
MBB,2024-09-04,15.96,16.06,15.89,15.93,15157284,150143.0,21
MBB,2024-09-05,15.93,16.12,15.6,15.63,16467650,28678.0,21
MBB,2024-09-06,15.6,15.7,15.5,15.67,14688276,-48268.0,21
MBB,2024-09-09,15.6,15.63,15.5,15.63,7772171,-165646.0,21
MBB,2024-09-10,15.7,15.8,15.44,15.5,12390070,110007.0,21
MBB,2024-09-11,15.5,15.7,15.34,15.6,9695952,-65477.0,21
MBB,2024-09-12,15.67,15.76,15.63,15.67,5632452,-94713.0,21
