symbol,time,open,high,low,close,volume,value,source_index
VPB,2024-04-19,16.78,17.1,16.59,16.73,15360956,6840.0,23
VPB,2024-04-22,17.01,17.19,16.87,16.92,8684890,-7752.0,23
VPB,2024-04-23,16.96,17.19,16.64,17.01,15638655,329.0,23
VPB,2024-04-24,17.1,17.33,17.01,17.19,13074719,351.0,23
VPB,2024-04-25,17.33,17.33,16.96,17.19,10619955,1265.0,23
VPB,2024-04-26,17.01,17.19,16.92,17.15,8254986,-1393.0,23
VPB,2024-05-02,17.15,17.19,16.92,16.92,6334669,1144.0,23
VPB,2024-05-03,17.01,17.1,16.96,17.01,10570491,-1697.0,23
VPB,2024-05-06,17.1,17.33,17.01,17.33,11302265,731.0,23
VPB,2024-05-07,17.33,17.42,17.15,17.38,7409922,1446.0,23
VPB,2024-05-08,17.24,17.38,17.1,17.15,10947191,-1629.0,23
VPB,2024-05-09,17.24,17.42,17.1,17.33,9753071,-610.0,23
VPB,2024-05-10,17.29,17.33,17.01,17.1,10358050,-88.0,23
VPB,2024-05-13,17.15,17.47,17.05,17.38,16734961,38.0,23
VPB,2024-05-14,17.56,17.84,17.47,17.65,20936765,9118.0,23
VPB,2024-05-15,17.79,17.79,17.61,17.61,10506314,-7622.0,23
VPB,2024-05-16,17.75,17.98,17.65,17.93,20753315,-217.0,23
VPB,2024-05-17,17.93,17.98,17.79,17.93,12373943,-463.0,23
VPB,2024-05-20,18.07,18.35,18.02,18.3,25257606,2943.0,23
VPB,2024-05-21,18.3,18.35,18.12,18.3,24055008,-1643.0,23
VPB,2024-05-22,18.3,18.3,17.77,17.82,22579825,2237.0,23
VPB,2024-05-23,17.82,18.01,17.67,18.01,9370104,-3200.0,23
VPB,2024-05-24,17.91,18.01,17.52,17.52,19568119,1868.0,23
VPB,2024-05-27,17.67,17.67,17.47,17.52,7404200,-2556.0,23
VPB,2024-05-28,17.62,17.72,17.52,17.57,8409099,-244.0,23
VPB,2024-05-29,17.62,17.62,17.47,17.57,8294344,-213.0,23
VPB,2024-05-30,17.52,17.52,17.23,17.47,10463296,1406.0,23
VPB,2024-05-31,17.47,17.57,17.43,17.52,5711042,-1086.0,23
VPB,2024-06-03,17.62,17.96,17.57,17.82,14016447,2051.0,23
VPB,2024-06-04,17.91,17.91,17.67,17.72,9141976,-573.0,23
VPB,2024-06-05,17.72,17.82,17.62,17.62,11806868,-2075.0,23
VPB,2024-06-06,17.67,17.77,17.47,17.62,16615623,514.0,23
VPB,2024-06-07,17.77,17.77,17.47,17.52,9959779,812.0,23
VPB,2024-06-10,17.57,17.72,17.52,17.57,10498933,194.0,23
VPB,2024-06-11,17.72,17.86,17.57,17.82,31084271,-99.0,23
VPB,2024-06-12,17.82,18.89,17.67,18.89,69944435,350.0,23
VPB,2024-06-13,18.98,19.28,18.74,18.93,44268791,17097.0,23
VPB,2024-06-14,18.93,18.98,18.2,18.2,35964913,-18554.0,23
VPB,2024-06-17,18.2,18.55,17.96,18.25,26723292,1546.0,23
VPB,2024-06-18,18.3,18.59,18.11,18.11,35295361,-541.0,23
VPB,2024-06-19,18.16,18.69,17.91,18.5,51398314,-944.0,23
VPB,2024-06-20,18.64,19.28,18.5,19.18,66054206,3187.0,23
VPB,2024-06-21,19.18,19.32,18.84,19.08,48980786,-686.0,23
VPB,2024-06-24,18.93,19.08,18.35,18.35,45279444,-1788.0,23
VPB,2024-06-25,18.35,18.69,18.35,18.5,19536820,-458.0,23
VPB,2024-06-26,18.5,18.59,18.06,18.5,27226795,492.0,23
VPB,2024-06-27,18.5,18.55,18.2,18.5,25084219,1172.0,23
VPB,2024-06-28,18.45,18.79,18.11,18.16,41525596,-1921.0,23
VPB,2024-07-01,18.16,18.55,18.01,18.5,16522387,840.0,23
VPB,2024-07-02,18.5,18.69,18.3,18.45,16427090,-1235.0,23
VPB,2024-07-03,18.5,18.69,18.25,18.5,20131924,175.0,23
VPB,2024-07-04,18.64,18.93,18.55,18.55,26252856,375.0,23
VPB,2024-07-05,18.55,18.79,18.5,18.64,18433129,-355.0,23
VPB,2024-07-08,18.69,18.79,18.5,18.55,16159777,438.0,23
VPB,2024-07-09,18.69,18.93,18.5,18.89,32015495,373.0,23
