symbol,time,open,high,low,close,volume,value,source_index
VJC,2024-04-19,102.0,103.6,102.0,103.3,947587,-2035.0,27
VJC,2024-04-22,103.3,104.2,102.1,103.3,811165,2241.0,27
VJC,2024-04-23,104.0,104.0,101.0,102.8,1110656,-6606.0,27
VJC,2024-04-24,103.2,103.8,102.6,103.5,897387,-898.0,27
VJC,2024-04-25,103.8,103.8,101.5,103.5,904861,4510.0,27
VJC,2024-04-26,103.0,104.0,101.9,104.0,903686,-6115.0,27
VJC,2024-05-02,104.0,104.2,102.2,103.9,827826,7162.0,27
VJC,2024-05-03,104.0,106.6,103.1,106.0,1092861,-2381.0,27
VJC,2024-05-06,106.2,113.4,106.2,113.4,1740007,4409.0,27
VJC,2024-05-07,114.0,118.7,114.0,118.6,1561749,7291.0,27
VJC,2024-05-08,117.9,117.9,115.6,117.4,1227133,-7475.0,27
VJC,2024-05-09,117.4,118.9,116.0,117.9,1131907,-2057.0,27
VJC,2024-05-10,117.9,118.0,115.8,116.9,925026,-2717.0,27
VJC,2024-05-13,117.0,119.6,115.5,118.8,1050708,-3822.0,27
VJC,2024-05-14,119.0,119.0,116.6,117.0,1080061,1781.0,27
VJC,2024-05-15,116.6,118.4,116.6,117.3,1319760,995.0,27
VJC,2024-05-16,117.5,117.8,116.0,117.5,1114252,-1305.0,27
VJC,2024-05-17,117.8,119.4,116.7,117.4,995774,589.0,27
VJC,2024-05-20,117.7,117.8,114.6,114.6,1006391,867.0,27
VJC,2024-05-21,114.6,114.7,111.0,112.5,920756,-2524.0,27
VJC,2024-05-22,112.8,114.2,109.1,109.1,1178099,2142.0,27
VJC,2024-05-23,109.3,111.8,109.0,111.4,840594,-1043.0,27
VJC,2024-05-24,111.0,111.0,108.0,108.0,776587,-270.0,27
VJC,2024-05-27,108.3,109.4,107.7,109.0,638563,-207.0,27
VJC,2024-05-28,109.9,109.9,108.5,109.6,687014,1745.0,27
VJC,2024-05-29,109.6,109.7,107.3,107.9,816191,-115.0,27
VJC,2024-05-30,107.0,108.4,107.0,107.0,662357,470.0,27
VJC,2024-05-31,107.5,108.8,107.1,107.1,719504,-605.0,27
VJC,2024-06-03,107.8,109.8,107.3,108.7,940559,70.0,27
VJC,2024-06-04,109.0,109.0,107.9,108.4,695604,-1036.0,27
VJC,2024-06-05,109.0,109.4,108.0,108.0,785983,3183.0,27
VJC,2024-06-06,108.1,109.8,107.8,108.6,952286,280.0,27
VJC,2024-06-07,108.9,109.2,108.0,109.0,993018,-646.0,27
VJC,2024-06-10,109.0,111.3,108.6,109.0,1074943,-746.0,27
VJC,2024-06-11,109.0,109.0,105.4,105.8,1532905,1167.0,27
VJC,2024-06-12,105.9,106.3,104.5,106.3,1089458,-6128.0,27
VJC,2024-06-13,106.6,106.6,105.3,106.0,835050,3552.0,27
VJC,2024-06-14,106.0,106.2,104.0,104.8,1184371,-667.0,27
VJC,2024-06-17,104.9,105.4,104.0,104.8,660534,5279.0,27
VJC,2024-06-18,104.9,105.0,104.1,104.6,894107,-6283.0,27
VJC,2024-06-19,104.8,104.8,102.0,103.3,1366859,2826.0,27
VJC,2024-06-20,103.1,103.9,102.3,103.8,1082207,-2365.0,27
VJC,2024-06-21,103.9,104.0,101.9,102.5,1211056,7919.0,27
VJC,2024-06-24,102.4,103.0,100.9,101.6,916214,-8010.0,27
VJC,2024-06-25,101.6,102.0,100.9,101.6,788287,-855.0,27
VJC,2024-06-26,101.9,102.0,101.1,101.6,816270,1375.0,27
VJC,2024-06-27,101.6,102.1,100.7,102.0,853155,-2950.0,27
VJC,2024-06-28,102.0,102.1,100.7,101.5,789852,9238.0,27
VJC,2024-07-01,101.1,101.7,99.7,100.7,933971,-7134.0,27
VJC,2024-07-02,101.0,101.2,99.7,101.0,1084092,-801.0,27
VJC,2024-07-03,101.0,101.2,100.1,101.2,642479,6171.0,27
VJC,2024-07-04,101.0,101.4,100.4,101.2,817674,-3889.0,27
VJC,2024-07-05,101.1,101.8,100.5,101.6,936949,6921.0,27
VJC,2024-07-08,101.6,102.0,101.0,101.3,811004,335.0,27
VJC,2024-07-09,101.0,101.5,100.6,101.4,943312,-2701.0,27
