symbol,time,open,high,low,close,volume,value,source_index
PLX,2024-04-19,32.64,32.87,32.17,32.27,518813,211.0,29
PLX,2024-04-22,32.59,32.78,32.17,32.27,411792,-3.0,29
PLX,2024-04-23,32.41,32.87,32.17,32.59,421100,-242.0,29
PLX,2024-04-24,32.64,32.87,32.55,32.83,742886,-3.0,29
PLX,2024-04-25,32.83,32.83,32.5,32.69,219805,42.0,29
PLX,2024-04-26,32.69,33.24,32.59,33.24,422484,-67.0,29
PLX,2024-05-02,33.24,33.57,32.83,33.34,421250,72.0,29
PLX,2024-05-03,33.62,33.71,33.38,33.52,519400,246.0,29
PLX,2024-05-06,34.27,34.27,33.9,34.18,551512,728.0,29
PLX,2024-05-07,34.32,36.18,34.27,36.04,3667823,-971.0,29
PLX,2024-05-08,36.04,37.62,35.48,37.25,2987411,689.0,29
PLX,2024-05-09,37.25,37.81,36.55,37.43,2132572,-129.0,29
PLX,2024-05-10,37.43,37.9,36.97,37.34,1934314,79.0,29
PLX,2024-05-13,37.71,37.71,37.06,37.11,1604669,-290.0,29
PLX,2024-05-14,37.35,37.45,36.09,36.28,1950446,415.0,29
PLX,2024-05-15,36.28,37.35,36.28,36.96,1257406,-774.0,29
PLX,2024-05-16,37.3,37.59,36.87,36.96,1778821,577.0,29
PLX,2024-05-17,37.01,37.01,36.19,36.72,2726222,-231.0,29
PLX,2024-05-20,36.77,37.3,36.77,36.77,1631170,-33.0,29
PLX,2024-05-21,36.48,36.72,35.8,36.28,2552910,792.0,29
PLX,2024-05-22,36.38,36.96,36.19,36.48,1576562,-390.0,29
PLX,2024-05-23,36.58,38.99,36.38,38.99,5339203,-41.0,29
PLX,2024-05-24,39.87,41.03,38.95,39.67,5372537,8905.0,29
PLX,2024-05-27,39.87,40.49,39.19,39.96,3454500,-8891.0,29
PLX,2024-05-28,40.45,40.54,39.77,40.2,3262202,-365.0,29
PLX,2024-05-29,40.45,41.41,39.91,40.16,4837209,1312.0,29
PLX,2024-05-30,39.67,40.11,39.04,40.01,3178965,20.0,29
PLX,2024-05-31,39.96,39.96,39.48,39.67,1186375,-1275.0,29
PLX,2024-06-03,39.87,41.03,39.87,40.16,2571348,185.0,29
PLX,2024-06-04,40.16,40.78,40.01,40.35,2201852,386.0,29
PLX,2024-06-05,40.35,41.12,40.16,40.49,2445957,-754.0,29
PLX,2024-06-06,40.4,40.98,39.48,40.54,2092206,-16.0,29
PLX,2024-06-07,40.64,40.74,39.91,40.16,1544548,51.0,29
PLX,2024-06-10,40.2,40.83,40.16,40.59,1543970,-132.0,29
PLX,2024-06-11,40.74,41.99,40.74,41.8,3783609,453.0,29
PLX,2024-06-12,41.8,41.9,41.12,41.7,1530392,-329.0,29
PLX,2024-06-13,41.9,41.9,40.78,40.83,2331676,49.0,29
PLX,2024-06-14,40.83,41.17,39.19,39.19,3496473,109.0,29
PLX,2024-06-17,39.28,39.48,38.61,38.61,2125535,-136.0,29
PLX,2024-06-18,39.48,39.96,38.99,39.67,1477556,1051.0,29
PLX,2024-06-19,39.72,40.16,39.24,40.16,1027609,-1162.0,29
PLX,2024-06-20,40.54,40.74,39.28,39.96,1285549,738.0,29
PLX,2024-06-21,40.16,41.27,39.48,40.93,1971769,-827.0,29
PLX,2024-06-24,41.22,41.41,39.43,39.43,2507110,1712.0,29
PLX,2024-06-25,39.43,40.06,39.38,39.67,854544,-1800.0,29
PLX,2024-06-26,39.67,41.07,39.43,41.03,2057136,935.0,29
PLX,2024-06-27,41.12,41.12,39.96,39.96,1068657,-168.0,29
PLX,2024-06-28,40.06,40.45,39.28,39.57,1456408,-683.0,29
PLX,2024-07-01,39.72,40.06,38.95,39.48,682864,-100.0,29
PLX,2024-07-02,40.01,40.01,39.48,40.01,660904,195.0,29
PLX,2024-07-03,40.25,40.83,39.87,40.49,1462413,-66.0,29
PLX,2024-07-04,40.54,42.86,40.45,42.48,6019356,638.0,29
PLX,2024-07-05,42.48,42.96,42.38,42.53,2476809,-234.0,29
PLX,2024-07-08,42.57,45.09,42.57,44.99,5316020,147.0,29
PLX,2024-07-09,45.09,45.09,44.32,44.51,1999558,810.0,29
PLX,2024-07-10,44.9,45.53,44.51,45.04,2764660,-1227.0,29
PLX,2024-07-11,45.14,45.38,44.61,45.28,2442096,659.0,29
PLX,2024-07-12,45.38,45.67,44.61,44.8,1818606,-815.0,29
PLX,2024-07-15,45.19,46.44,45.04,46.44,2716682,471.0,29
PLX,2024-07-16,46.83,46.83,45.57,45.57,2057065,-225.0,29
PLX,2024-07-17,45.57,45.57,42.43,43.54,3845770,715.0,29
PLX,2024-07-18,43.93,45.96,43.54,45.96,2700997,-797.0,29
PLX,2024-07-19,45.96,46.25,44.61,45.38,2055687,1144.0,29
PLX,2024-07-22,45.28,45.28,43.98,44.85,2145989,97291.0,29
PLX,2024-07-23,44.9,45.67,43.74,44.03,2258904,5695.0,29
PLX,2024-07-24,43.59,44.99,42.67,44.99,3365040,47205.0,29
PLX,2024-07-25,44.51,45.19,43.98,44.85,1152907,-98583.0,29
PLX,2024-07-26,44.85,46.59,44.85,46.25,3344181,105365.0,29
PLX,2024-07-29,47.12,47.12,45.77,46.25,1353431,-93720.0,29
PLX,2024-07-30,45.96,46.74,45.04,45.57,1700323,15861.0,29
PLX,2024-07-31,45.57,46.25,44.32,44.41,3185383,68231.0,29
PLX,2024-08-01,44.61,45.09,43.83,43.83,2572860,-29944.0,29
PLX,2024-08-02,43.59,45.96,43.35,45.96,2541850,-2072.0,29
PLX,2024-08-05,44.9,45.33,43.64,44.03,2339208,-9692.0,29
PLX,2024-08-06,44.9,45.77,44.07,45.48,2130367,-8345.0,29
PLX,2024-08-07,45.67,46.4,44.75,46.25,1945065,-7139.0,29
PLX,2024-08-08,46.2,46.64,45.48,46.01,2288723,17749.0,29
PLX,2024-08-09,46.44,46.44,45.48,46.44,1398221,-42992.0,29
PLX,2024-08-12,47.12,48.19,47.12,47.27,4058840,133329.0,29
PLX,2024-08-13,47.36,48.19,47.17,47.27,2216000,-90514.0,29
PLX,2024-08-14,47.41,48.86,47.17,47.61,3085932,44378.0,29
PLX,2024-08-15,47.61,47.9,47.22,47.41,1245594,-92540.0,29
PLX,2024-08-16,47.51,50.02,47.46,48.96,4588051,172490.0,29
PLX,2024-08-19,48.96,49.73,48.77,48.77,1224573,-171471.0,29
PLX,2024-08-20,48.67,49.64,47.85,47.85,2520231,64142.0,29
PLX,2024-08-21,47.9,48.38,46.93,47.22,3226535,31870.0,29
PLX,2024-08-22,47.51,48.04,47.32,47.41,1066892,-105635.0,29
PLX,2024-08-23,47.03,47.8,47.03,47.41,1219887,7243.0,29
PLX,2024-08-26,47.56,47.8,46.98,46.98,1460187,11833.0,29
PLX,2024-08-27,46.98,47.75,46.93,47.51,1208652,-12298.0,29
PLX,2024-08-28,47.75,48.14,47.61,47.8,1088559,-5396.0,29
PLX,2024-08-29,47.99,47.99,47.17,47.22,722890,-18422.0,29
PLX,2024-08-30,47.22,47.41,46.98,47.03,893681,8147.0,29
PLX,2024-09-04,46.74,46.74,45.38,45.48,2545591,77163.0,29
PLX,2024-09-05,45.48,45.86,44.07,44.56,2979729,17475.0,29
PLX,2024-09-06,44.17,45.48,44.17,45.43,1278720,-78962.0,29
PLX,2024-09-09,44.7,45.57,44.7,44.95,792019,-22190.0,29
PLX,2024-09-10,45.38,45.43,44.61,44.9,1015688,10256.0,29
PLX,2024-09-11,44.99,44.99,44.27,44.32,836695,-8775.0,29
PLX,2024-09-12,44.75,44.8,43.93,43.93,1270293,19524.0,29
PLX,2024-09-13,43.93,44.46,43.54,44.32,726513,-25020.0,29
PLX,2024-09-16,44.95,44.95,43.54,43.54,814197,3915.0,29
PLX,2024-09-17,43.54,43.93,42.77,43.54,1126574,13324.0,29
PLX,2024-09-18,43.88,44.12,43.3,43.54,896345,-9796.0,29
PLX,2024-09-19,43.59,43.88,43.11,43.88,1416716,23084.0,29
PLX,2024-09-20,43.93,44.85,43.88,44.51,1270006,-5261.0,29
PLX,2024-09-23,44.51,44.51,43.64,43.78,965499,-14458.0,29
PLX,2024-09-24,43.83,44.12,43.54,43.74,1182376,9670.0,29
PLX,2024-09-25,44.03,44.32,43.78,43.93,1309308,6154.0,29
PLX,2024-09-26,44.12,44.51,43.83,44.12,1673150,16633.0,29
PLX,2024-09-27,44.22,44.27,43.45,43.49,1565740,-5612.0,29
PLX,2024-09-30,43.59,43.59,43.06,43.06,1097047,-21751.0,29
PLX,2024-10-01,42.96,43.49,42.96,43.06,1076611,-879.0,29
PLX,2024-10-02,43.35,43.74,43.15,43.49,957987,-5031.0,29
PLX,2024-10-03,43.25,43.45,42.82,42.96,1304592,15101.0,29
PLX,2024-10-04,43.06,44.03,43.01,43.64,2562922,57272.0,29
PLX,2024-10-07,43.93,43.93,43.3,43.49,796760,-79530.0,29
PLX,2024-10-08,43.64,43.98,43.2,43.2,1701152,40891.0,29
PLX,2024-10-09,43.15,43.3,42.91,42.96,1818435,4096.0,29
PLX,2024-10-10,43.15,43.74,42.91,43.06,749712,-47363.0,29
PLX,2024-10-11,43.45,43.69,43.15,43.25,713817,-1478.0,29
PLX,2024-10-14,43.25,43.25,42.96,43.01,713370,-235.0,29
PLX,2024-10-15,42.91,43.01,41.12,41.46,3911655,137130.0,29
PLX,2024-10-16,41.46,41.46,40.25,40.49,2453845,-65611.0,29
PLX,2024-10-17,40.64,40.93,40.4,40.88,1200212,-52877.0,29
PLX,2024-10-18,41.03,41.61,40.93,40.98,798563,-16382.0,29
PLX,2024-10-21,40.83,40.83,40.16,40.25,1345548,22134.0,29
PLX,2024-10-22,40.25,40.83,40.01,40.45,1350644,194.0,29
PLX,2024-10-23,40.59,41.07,40.54,40.93,746645,-24820.0,29
PLX,2024-10-24,40.93,40.98,40.4,40.4,738417,-478.0,29
PLX,2024-10-25,40.45,40.49,40.11,40.2,476730,-11185.0,29
PLX,2024-10-28,40.2,40.64,39.43,40.64,771845,11884.0,29
PLX,2024-10-29,40.16,40.59,40.16,40.54,533378,-9472.0,29
PLX,2024-10-30,40.64,40.64,40.01,40.06,581729,1895.0,29
PLX,2024-10-31,40.06,40.06,39.67,39.77,560785,-1080.0,29
PLX,2024-11-01,39.77,39.77,39.28,39.28,817338,10236.0,29
PLX,2024-11-04,39.24,39.38,38.61,38.61,1077844,10001.0,29
PLX,2024-11-05,38.41,39.04,38.41,38.75,478524,-24139.0,29
PLX,2024-11-06,39.19,39.19,38.85,38.85,555517,3210.0,29
PLX,2024-11-07,38.99,39.33,38.95,38.99,565609,476.0,29
PLX,2024-11-08,39.24,39.24,38.7,38.75,609188,1614.0,29
PLX,2024-11-11,38.7,38.9,37.83,37.98,1219965,23740.0,29
PLX,2024-11-12,37.93,38.27,37.83,38.12,731564,-19475.0,29
PLX,2024-11-13,38.12,38.17,37.35,37.64,966214,8856.0,29
PLX,2024-11-14,37.59,38.46,37.45,37.69,868294,-3527.0,29
PLX,2024-11-15,37.98,37.98,37.16,37.16,737389,-5481.0,29
PLX,2024-11-18,37.11,37.59,36.14,36.48,965132,7978.0,29
PLX,2024-11-19,36.77,37.54,36.77,37.06,637089,-12071.0,29
PLX,2024-11-20,36.82,37.54,36.77,37.35,443688,-7410.0,29
PLX,2024-11-21,37.4,38.03,37.11,37.78,416970,-862.0,29
PLX,2024-11-22,38.08,38.08,37.64,37.88,310348,-4097.0,29
PLX,2024-11-25,38.03,38.17,37.74,38.12,368470,2330.0,29
PLX,2024-11-26,37.88,38.17,37.54,37.98,525479,6127.0,29
PLX,2024-11-27,37.98,38.12,37.78,37.83,260282,-10391.0,29
PLX,2024-11-28,37.98,39.24,37.83,38.7,1180089,37050.0,29
PLX,2024-11-29,38.99,39.19,38.7,38.7,463385,-28608.0,29
PLX,2024-12-02,38.7,38.85,38.17,38.46,602358,5282.0,29
PLX,2024-12-03,38.37,39.28,38.17,38.7,763676,6599.0,29
PLX,2024-12-04,38.75,39.57,38.75,38.99,652112,-4134.0,29
PLX,2024-12-05,38.99,39.38,38.7,39.28,716714,2549.0,29
PLX,2024-12-06,39.28,39.43,38.8,39.14,788404,2892.0,29
PLX,2024-12-09,39.14,39.14,38.7,38.85,574450,-8757.0,29
PLX,2024-12-10,38.85,39.14,38.8,38.99,285366,-11577.0,29
PLX,2024-12-11,38.9,38.99,38.56,38.61,547103,10414.0,29
PLX,2024-12-12,38.56,38.85,38.12,38.12,843454,11547.0,29
PLX,2024-12-13,38.12,38.12,37.45,37.45,1285972,16720.0,29
PLX,2024-12-16,37.74,37.74,37.4,37.45,648007,-25068.0,29
PLX,2024-12-17,37.4,37.64,37.4,37.64,438786,-8070.0,29
PLX,2024-12-18,37.45,38.46,37.45,38.03,792313,13862.0,29
PLX,2024-12-19,37.64,38.7,37.45,38.12,776964,-273.0,29
PLX,2024-12-20,38.32,38.46,37.4,37.74,592412,-7402.0,29
PLX,2024-12-23,37.83,38.12,37.49,37.49,527532,-2701.0,29
