symbol,time,open,high,low,close,volume,value,source_index
VIB,2024-04-19,15.14,15.51,15.11,15.22,8954253,4376.0,30
VIB,2024-04-22,15.25,15.43,15.22,15.29,5871976,-7257.0,30
VIB,2024-04-23,15.29,15.54,15.0,15.14,6479202,-228.0,30
VIB,2024-04-24,15.22,15.58,15.22,15.43,4444940,-65.0,30
VIB,2024-04-25,15.43,15.51,15.18,15.25,3794531,35.0,30
VIB,2024-04-26,15.07,15.36,15.07,15.22,2907977,1680.0,30
VIB,2024-05-02,15.18,15.47,15.14,15.43,3170514,-922.0,30
VIB,2024-05-03,15.51,15.69,15.29,15.29,5628483,-107.0,30
VIB,2024-05-06,15.43,15.69,15.4,15.65,4442038,132.0,30
VIB,2024-05-07,15.76,15.79,15.54,15.65,2610292,740.0,30
VIB,2024-05-08,15.51,15.61,15.4,15.54,4436309,1157.0,30
VIB,2024-05-09,15.58,15.69,15.43,15.58,3080892,-2545.0,30
VIB,2024-05-10,15.58,15.58,15.47,15.54,2715231,313.0,30
VIB,2024-05-13,15.54,15.61,15.36,15.4,3637630,-267.0,30
VIB,2024-05-14,15.58,16.01,15.43,15.69,6940789,5818.0,30
VIB,2024-05-15,15.9,15.9,15.69,15.76,3363024,-833.0,30
VIB,2024-05-16,16.01,16.12,15.94,16.08,9178823,1300.0,30
VIB,2024-05-17,16.08,16.15,16.01,16.08,4330086,-5375.0,30
VIB,2024-05-20,16.3,16.33,16.15,16.23,7441863,5844.0,30
VIB,2024-05-21,16.33,16.33,16.01,16.3,7290110,-4205.0,30
VIB,2024-05-22,16.3,16.41,16.01,16.01,6627255,-1370.0,30
VIB,2024-05-23,15.94,16.05,15.87,16.05,3622505,-750.0,30
VIB,2024-05-24,15.87,16.37,15.72,15.87,14937705,951.0,30
VIB,2024-05-27,15.9,15.97,15.76,15.87,3450945,-1612.0,30
VIB,2024-05-28,16.08,16.08,15.87,16.08,4020869,1620.0,30
VIB,2024-05-29,16.12,16.19,15.79,15.79,5540831,-637.0,30
VIB,2024-05-30,15.76,15.87,15.58,15.87,5834294,652.0,30
VIB,2024-05-31,15.87,15.87,15.69,15.69,3129849,-1761.0,30
VIB,2024-06-03,15.76,16.19,15.76,16.08,4753030,35.0,30
VIB,2024-06-04,16.15,16.23,16.05,16.15,3478074,741.0,30
VIB,2024-06-05,16.23,16.44,16.15,16.15,7854184,-338.0,30
VIB,2024-06-06,16.3,16.3,16.08,16.15,3669837,586.0,30
VIB,2024-06-07,16.3,16.33,16.08,16.15,2832652,-841.0,30
VIB,2024-06-10,16.15,16.26,16.01,16.26,5271956,1502.0,30
VIB,2024-06-11,16.3,16.7,16.3,16.51,8509121,1834.0,30
VIB,2024-06-12,16.48,16.59,16.33,16.55,5258092,-2594.0,30
VIB,2024-06-13,16.59,16.66,16.44,16.51,7717944,3197.0,30
VIB,2024-06-14,16.62,16.62,16.23,16.23,6672607,-3515.0,30
VIB,2024-06-17,16.15,16.23,15.9,15.9,7550062,-98.0,30
VIB,2024-06-18,15.97,16.08,15.9,15.9,3477470,-194.0,30
VIB,2024-06-19,16.05,16.05,15.79,15.87,4361439,1369.0,30
VIB,2024-06-20,15.87,15.94,15.76,15.87,3564164,-1528.0,30
VIB,2024-06-21,15.87,15.87,15.72,15.72,3605388,-269.0,30
VIB,2024-06-24,15.65,15.72,15.36,15.36,7874108,2000.0,30
VIB,2024-06-25,15.51,15.51,15.25,15.36,3239370,-1666.0,30
VIB,2024-06-26,15.4,15.47,15.25,15.33,2588768,83.0,30
VIB,2024-06-27,15.29,15.4,15.22,15.25,3009962,238.0,30
VIB,2024-06-28,15.33,15.33,15.14,15.14,2781853,-602.0,30
VIB,2024-07-01,15.07,15.29,15.07,15.29,2131352,908.0,30
VIB,2024-07-02,15.29,15.51,15.29,15.43,2317948,-543.0,30
VIB,2024-07-03,15.47,15.51,15.36,15.4,2536017,220.0,30
VIB,2024-07-04,15.36,15.51,15.25,15.33,2952073,-388.0,30
VIB,2024-07-05,15.33,15.33,15.14,15.29,2939858,1257.0,30
VIB,2024-07-08,15.29,15.43,15.25,15.36,2199071,-981.0,30
VIB,2024-07-09,15.4,15.51,15.33,15.43,4019428,42.0,30
VIB,2024-07-10,15.47,15.61,15.4,15.4,3294096,-378.0,30
VIB,2024-07-11,15.51,15.54,15.36,15.36,2655848,1013.0,30
VIB,2024-07-12,15.36,15.47,15.33,15.36,1454060,-794.0,30
VIB,2024-07-15,15.4,15.47,15.29,15.36,1466570,-214.0,30
VIB,2024-07-16,15.36,15.61,15.36,15.36,3174712,-88.0,30
VIB,2024-07-17,15.47,16.01,15.43,15.58,8684102,368.0,30
VIB,2024-07-18,15.61,15.76,15.47,15.54,3565621,85.0,30
VIB,2024-07-19,15.54,15.76,15.43,15.47,4830068,596.0,30
VIB,2024-07-22,15.47,15.72,15.33,15.4,5099928,108132.0,30
VIB,2024-07-23,15.47,15.51,15.22,15.22,3949529,-25264.0,30
VIB,2024-07-24,15.22,15.29,15.04,15.14,3428367,-11993.0,30
VIB,2024-07-25,15.14,15.18,15.0,15.0,2791294,-13878.0,30
VIB,2024-07-26,15.07,15.14,15.0,15.07,1464859,-27664.0,30
VIB,2024-07-29,15.14,15.22,15.07,15.07,1869977,8620.0,30
VIB,2024-07-30,15.11,15.11,14.78,14.86,3733022,38052.0,30
VIB,2024-07-31,14.86,15.29,14.82,15.29,5400360,34891.0,30
VIB,2024-08-01,15.36,15.4,14.89,14.93,4221137,-23622.0,30
VIB,2024-08-02,14.86,15.22,14.75,15.22,4312789,734.0,30
VIB,2024-08-05,14.93,15.07,14.57,14.6,6982213,54012.0,30
VIB,2024-08-06,14.82,15.0,14.68,15.0,2712528,-87485.0,30
VIB,2024-08-07,15.07,15.07,14.78,14.89,1517298,-24408.0,30
VIB,2024-08-08,14.82,15.14,14.82,14.89,2589762,22513.0,30
VIB,2024-08-09,15.04,15.07,14.93,15.07,2129647,-9492.0,30
VIB,2024-08-12,15.04,15.07,14.89,15.0,2393086,5282.0,30
