symbol,time,open,high,low,close,volume,value,source_index
VRE,2024-04-19,21.65,21.95,21.05,21.3,8595065,773.0,3
VRE,2024-04-22,21.6,22.6,21.5,22.4,7080713,-1338.0,3
VRE,2024-04-23,22.2,22.5,21.6,21.9,4863051,1670.0,3
VRE,2024-04-24,22.2,22.65,22.05,22.55,5632123,-2243.0,3
VRE,2024-04-25,22.35,22.6,22.1,22.55,4173486,1114.0,3
VRE,2024-04-26,22.2,22.6,22.0,22.45,7639128,261.0,3
VRE,2024-05-02,22.45,22.8,22.35,22.75,6046375,-902.0,3
VRE,2024-05-03,22.85,23.65,22.75,23.4,13037712,304.0,3
VRE,2024-05-06,23.5,23.5,23.0,23.35,8150053,1570.0,3
VRE,2024-05-07,23.35,23.6,22.85,23.35,6725100,-2296.0,3
VRE,2024-05-08,23.3,23.35,22.85,23.2,7713058,296.0,3
VRE,2024-05-09,23.15,23.4,22.85,22.85,5067082,-25.0,3
VRE,2024-05-10,22.9,23.0,22.3,22.5,7427009,-570.0,3
VRE,2024-05-13,22.5,22.6,22.1,22.25,4560419,70.0,3
VRE,2024-05-14,22.8,22.85,22.15,22.25,5076884,3787.0,3
VRE,2024-05-15,22.3,22.4,22.15,22.35,5428903,-3372.0,3
VRE,2024-05-16,22.5,22.8,22.45,22.65,6051048,434.0,3
VRE,2024-05-17,22.7,23.25,22.5,23.1,10953970,613.0,3
VRE,2024-05-20,23.25,23.55,22.85,22.85,6023072,-896.0,3
VRE,2024-05-21,22.9,23.25,22.7,23.15,9304088,781.0,3
VRE,2024-05-22,23.1,23.7,23.1,23.15,13074438,-1046.0,3
VRE,2024-05-23,23.0,23.2,22.75,23.0,5811100,1210.0,3
VRE,2024-05-24,22.9,22.9,22.05,22.3,14281551,544.0,3
VRE,2024-05-27,22.3,22.4,22.2,22.3,4554476,-1168.0,3
VRE,2024-05-28,22.35,22.55,22.3,22.45,3617223,-663.0,3
VRE,2024-05-29,22.5,22.5,22.1,22.15,7467139,-125.0,3
VRE,2024-05-30,22.1,22.1,21.6,21.6,11228516,1560.0,3
VRE,2024-05-31,22.1,22.1,21.65,21.75,5368457,3626.0,3
VRE,2024-06-03,21.95,22.45,21.95,22.3,7072516,-4954.0,3
VRE,2024-06-04,22.4,22.45,22.05,22.1,4850501,237.0,3
VRE,2024-06-05,22.2,22.8,22.15,22.5,9516043,-30.0,3
VRE,2024-06-06,22.7,22.8,22.2,22.5,6312820,1172.0,3
VRE,2024-06-07,22.5,22.6,22.2,22.2,6502375,-1255.0,3
VRE,2024-06-10,22.3,22.45,22.05,22.1,5857889,134.0,3
VRE,2024-06-11,22.15,22.25,21.65,21.7,11752316,27.0,3
VRE,2024-06-12,21.7,21.95,21.6,21.85,8001240,-155.0,3
VRE,2024-06-13,21.9,22.05,21.6,21.7,8899169,1358.0,3
VRE,2024-06-14,21.8,21.85,21.45,21.45,10380044,-1869.0,3
VRE,2024-06-17,21.6,21.6,21.1,21.15,8667969,1356.0,3
VRE,2024-06-18,21.25,21.35,21.1,21.1,6165525,-1358.0,3
VRE,2024-06-19,21.15,21.2,20.65,20.65,10535080,559.0,3
VRE,2024-06-20,20.6,20.8,20.05,20.25,12669573,1040.0,3
VRE,2024-06-21,20.25,20.3,19.85,20.0,12271889,-1329.0,3
VRE,2024-06-24,19.9,20.5,19.9,19.95,10149982,471.0,3
VRE,2024-06-25,20.1,21.3,20.05,21.3,25470431,-272.0,3
VRE,2024-06-26,21.5,21.5,20.75,20.8,5891638,3509.0,3
VRE,2024-06-27,20.8,20.95,20.35,20.4,7614827,-2981.0,3
VRE,2024-06-28,20.4,21.2,20.4,20.45,12795298,-546.0,3
VRE,2024-07-01,20.7,21.85,20.6,21.85,13752023,916.0,3
VRE,2024-07-02,21.9,22.0,21.6,21.7,8416718,911.0,3
VRE,2024-07-03,21.55,21.6,20.95,21.3,34026304,5962.0,3
VRE,2024-07-04,21.3,21.7,21.1,21.25,11941048,-8022.0,3
VRE,2024-07-05,21.4,21.4,20.7,20.8,19515764,-97.0,3
VRE,2024-07-08,20.8,20.8,20.3,20.3,18453498,793.0,3
VRE,2024-07-09,20.3,20.7,20.2,20.5,10567064,1616.0,3
VRE,2024-07-10,20.6,21.05,20.55,20.55,9610683,-1992.0,3
VRE,2024-07-11,20.7,21.05,20.65,20.7,9051209,-338.0,3
VRE,2024-07-12,20.75,21.25,20.65,20.75,8548479,682.0,3
VRE,2024-07-15,20.9,20.95,20.35,20.35,11253154,-895.0,3
VRE,2024-07-16,20.4,20.55,20.15,20.2,10330176,391.0,3
VRE,2024-07-17,20.3,20.35,19.75,19.75,17521006,297.0,3
VRE,2024-07-18,19.8,20.15,19.6,20.15,9703493,7.0,3
