symbol,time,open,high,low,close,volume,value,source_index
HPG,2024-04-19,21.06,21.48,20.83,21.06,26158064,6146.0,4
HPG,2024-04-22,21.36,21.36,21.1,21.21,12398648,-7198.0,4
HPG,2024-04-23,21.21,21.25,20.79,20.91,18376759,1254.0,4
HPG,2024-04-24,21.14,21.93,21.02,21.82,23062837,-3063.0,4
HPG,2024-04-25,21.74,21.74,21.44,21.63,11245215,-1552.0,4
HPG,2024-04-26,21.44,21.63,21.25,21.51,18314893,758.0,4
HPG,2024-05-02,21.51,21.51,21.25,21.48,7330111,-597.0,4
HPG,2024-05-03,21.48,22.04,21.48,21.7,16725291,1109.0,4
HPG,2024-05-06,21.86,22.23,21.82,22.2,27119741,-1478.0,4
HPG,2024-05-07,22.27,22.88,22.16,22.84,30152936,4291.0,4
HPG,2024-05-08,22.84,23.48,22.54,23.26,34306978,460.0,4
HPG,2024-05-09,23.41,23.41,22.76,23.07,19434034,-532.0,4
HPG,2024-05-10,23.18,23.22,22.69,23.07,18994649,-1370.0,4
HPG,2024-05-13,23.14,23.22,22.8,22.88,13182013,588.0,4
HPG,2024-05-14,23.03,23.26,22.8,22.88,15673953,-1052.0,4
HPG,2024-05-15,22.92,23.75,22.92,23.64,45136493,-3283.0,4
HPG,2024-05-16,23.94,24.13,23.83,23.94,27420436,29042.0,4
HPG,2024-05-17,23.94,23.94,23.6,23.94,28657113,-26914.0,4
HPG,2024-05-20,23.98,24.36,23.94,24.24,46513904,5335.0,4
HPG,2024-05-21,24.24,24.24,23.83,24.13,20879194,-1456.0,4
HPG,2024-05-22,24.13,24.2,23.6,23.71,39799786,-4713.0,4
HPG,2024-05-23,24.04,24.58,23.83,24.58,37896846,28200.0,4
HPG,2024-05-24,24.42,24.58,23.75,24.08,30197105,-22554.0,4
HPG,2024-05-27,24.08,24.42,23.87,24.08,15778527,-2807.0,4
HPG,2024-05-28,24.17,24.33,24.0,24.29,17576389,-1226.0,4
HPG,2024-05-29,24.25,24.37,23.83,23.83,21619795,-178.0,4
HPG,2024-05-30,23.75,23.79,23.33,23.54,27283359,13939.0,4
HPG,2024-05-31,23.67,24.0,23.37,23.83,17748524,-13774.0,4
HPG,2024-06-03,24.0,24.25,24.0,24.17,20647812,5374.0,4
HPG,2024-06-04,24.17,24.83,24.17,24.42,39674519,-2675.0,4
HPG,2024-06-05,24.42,24.58,24.25,24.37,19207537,-2777.0,4
HPG,2024-06-06,24.37,24.71,24.08,24.42,20837091,-1763.0,4
HPG,2024-06-07,24.46,24.5,24.25,24.42,14893390,1334.0,4
HPG,2024-06-10,24.5,24.54,24.29,24.42,20270733,-62.0,4
HPG,2024-06-11,24.5,24.71,24.21,24.25,27003982,10881.0,4
HPG,2024-06-12,24.17,24.67,24.17,24.67,19295443,-6143.0,4
HPG,2024-06-13,24.71,24.75,24.42,24.58,20563088,6589.0,4
HPG,2024-06-14,24.58,24.96,24.25,24.25,34310393,-13052.0,4
HPG,2024-06-17,24.25,24.96,24.17,24.54,34389484,19217.0,4
HPG,2024-06-18,24.58,24.75,24.5,24.5,16545599,-18831.0,4
HPG,2024-06-19,24.58,24.62,24.37,24.46,19187496,-599.0,4
