symbol,time,open,high,low,close,volume,value,source_index
STB,2024-04-19,26.4,28.0,26.15,26.8,23056912,9294.0,5
STB,2024-04-22,27.4,28.15,27.1,27.65,13425620,-10839.0,5
STB,2024-04-23,27.55,28.15,27.55,27.8,18402711,1090.0,5
STB,2024-04-24,27.9,28.6,27.8,28.6,13994297,-531.0,5
STB,2024-04-25,28.6,28.65,28.2,28.45,9381505,2736.0,5
STB,2024-04-26,28.25,28.95,28.1,28.2,11934454,-3764.0,5
STB,2024-05-02,28.35,28.35,27.5,27.6,10056448,3546.0,5
STB,2024-05-03,27.8,28.05,27.5,27.55,8853601,-3125.0,5
STB,2024-05-06,27.95,28.15,27.65,28.1,8812082,945.0,5
STB,2024-05-07,28.15,28.35,28.1,28.3,8562772,-1490.0,5
STB,2024-05-08,28.3,28.35,27.85,27.95,9181334,1433.0,5
STB,2024-05-09,28.0,28.15,27.8,27.8,7553720,-983.0,5
STB,2024-05-10,27.9,28.0,27.6,27.6,6904745,-640.0,5
STB,2024-05-13,27.7,27.7,27.2,27.25,7864955,470.0,5
STB,2024-05-14,27.3,27.55,27.2,27.25,7430271,1215.0,5
STB,2024-05-15,27.35,27.9,27.3,27.8,9802818,564.0,5
STB,2024-05-16,28.1,28.65,28.1,28.4,16794136,4928.0,5
STB,2024-05-17,28.5,28.55,28.3,28.5,7140434,-6665.0,5
STB,2024-05-20,28.75,28.75,28.2,28.3,10166307,1216.0,5
STB,2024-05-21,28.3,28.45,27.85,28.3,9964133,-1518.0,5
STB,2024-05-22,28.3,28.4,27.95,28.0,7855561,530.0,5
STB,2024-05-23,27.9,28.55,27.7,28.55,10712583,2951.0,5
STB,2024-05-24,28.45,29.25,28.3,28.7,28348342,-757.0,5
STB,2024-05-27,28.8,28.95,28.35,28.7,6565399,-2190.0,5
STB,2024-05-28,28.8,29.0,28.6,28.85,9014443,11.0,5
STB,2024-05-29,28.9,28.9,28.25,28.25,10811613,715.0,5
STB,2024-05-30,28.0,28.25,27.6,27.85,16004079,3952.0,5
STB,2024-05-31,28.05,28.2,27.8,27.85,5568948,-4500.0,5
STB,2024-06-03,28.1,29.75,28.1,29.75,28588385,2636.0,5
STB,2024-06-04,30.5,30.6,29.85,29.95,20236239,36259.0,5
STB,2024-06-05,30.0,30.4,29.6,29.6,15298255,-37426.0,5
STB,2024-06-06,29.95,31.1,29.65,30.7,31386562,2971.0,5
STB,2024-06-07,30.7,31.1,30.7,30.75,12986624,-2579.0,5
STB,2024-06-10,31.2,31.7,31.05,31.1,14946060,9254.0,5
STB,2024-06-11,31.2,31.35,30.7,31.2,14067901,-11111.0,5
STB,2024-06-12,31.25,31.35,30.9,31.35,10810785,-494.0,5
STB,2024-06-13,31.5,31.9,31.25,31.65,19847039,8535.0,5
STB,2024-06-14,31.65,31.9,30.55,30.55,15868667,-8758.0,5
STB,2024-06-17,30.4,30.8,30.25,30.5,14509403,4272.0,5
STB,2024-06-18,30.55,31.15,30.55,30.55,11581601,-3795.0,5
STB,2024-06-19,30.6,31.2,30.45,30.9,13607252,311.0,5
STB,2024-06-20,31.1,31.1,30.0,30.75,21301089,1436.0,5
STB,2024-06-21,30.7,31.35,30.45,30.65,11455782,1090.0,5
STB,2024-06-24,30.65,30.75,29.4,29.5,20298206,-1251.0,5
STB,2024-06-25,29.7,29.8,29.25,29.6,11200911,-872.0,5
STB,2024-06-26,29.4,29.65,28.95,29.5,14573632,660.0,5
STB,2024-06-27,29.3,29.5,29.1,29.2,6436928,1579.0,5
STB,2024-06-28,29.05,29.4,28.8,28.8,9183808,6955.0,5
STB,2024-07-01,29.0,29.35,28.8,29.3,5213378,-10256.0,5
STB,2024-07-02,29.35,29.75,29.25,29.6,5432463,-158.0,5
STB,2024-07-03,29.55,30.1,29.55,29.9,6485869,1476.0,5
STB,2024-07-04,29.9,29.95,29.6,29.9,4387042,-1009.0,5
STB,2024-07-05,29.9,30.15,29.6,30.1,6501714,-162.0,5
STB,2024-07-08,30.0,30.3,29.75,30.15,11713425,997.0,5
STB,2024-07-09,30.15,30.4,29.95,30.35,11045860,-1640.0,5
STB,2024-07-10,30.35,30.45,29.85,29.85,7897898,318.0,5
STB,2024-07-11,30.0,30.15,29.85,29.85,5413840,1304.0,5
STB,2024-07-12,30.0,30.15,29.7,29.75,8717865,-315.0,5
STB,2024-07-15,29.8,29.95,29.6,29.75,3660326,1240.0,5
STB,2024-07-16,29.75,30.2,29.75,29.9,7817908,-2560.0,5
STB,2024-07-17,30.1,31.2,29.95,30.4,25062780,1521.0,5
STB,2024-07-18,30.4,30.6,29.95,30.6,10720413,702.0,5
STB,2024-07-19,30.55,30.85,30.15,30.3,8141744,-978.0,5
STB,2024-07-22,30.3,30.6,29.9,30.0,10810770,324357.0,5
STB,2024-07-23,30.1,30.3,29.0,29.0,11986346,29241.0,5
STB,2024-07-24,29.0,29.45,28.6,29.2,12414350,5042.0,5
STB,2024-07-25,29.15,29.15,28.6,28.8,8571850,-113129.0,5
STB,2024-07-26,28.8,29.1,28.75,29.1,5366200,-91644.0,5
STB,2024-07-29,29.2,29.4,28.8,29.1,5947800,17564.0,5
STB,2024-07-30,29.05,29.15,28.8,28.9,4458200,-43915.0,5
STB,2024-07-31,29.0,29.25,28.85,29.0,6032600,46150.0,5
STB,2024-08-01,29.0,29.25,28.05,28.05,11998200,168706.0,5
STB,2024-08-02,28.0,28.55,27.95,28.4,10783600,-39195.0,5
STB,2024-08-05,28.2,28.4,27.0,27.2,21028700,280173.0,5
STB,2024-08-06,27.55,28.45,27.3,28.4,8945400,-334985.0,5
STB,2024-08-07,28.4,28.5,27.9,28.4,7957500,-25315.0,5
STB,2024-08-08,28.05,28.6,28.0,28.25,5944200,-56608.0,5
STB,2024-08-09,28.65,28.95,28.2,28.85,9925300,115949.0,5
STB,2024-08-12,28.85,29.35,28.6,29.2,9701500,-1111.0,5
STB,2024-08-13,29.2,29.5,29.15,29.15,7059600,-75902.0,5
STB,2024-08-14,29.25,29.4,29.2,29.2,5866500,-35051.0,5
STB,2024-08-15,29.2,29.3,28.75,28.95,3730700,-63856.0,5
STB,2024-08-16,28.95,29.45,28.95,29.35,8293900,134790.0,5
STB,2024-08-19,29.5,29.7,29.35,29.65,5992100,-65833.0,5
STB,2024-08-20,29.65,29.8,29.5,29.65,6413400,13104.0,5
STB,2024-08-21,29.65,29.95,29.4,29.95,8881200,73523.0,5
STB,2024-08-22,30.0,30.05,29.8,29.9,4940600,-115891.0,5
STB,2024-08-23,29.9,30.0,29.65,29.95,5876500,27683.0,5
STB,2024-08-26,30.05,30.2,29.75,29.75,7701300,54977.0,5
STB,2024-08-27,29.75,29.85,29.6,29.6,4245000,-104339.0,5
STB,2024-08-28,29.7,29.85,29.55,29.55,4655800,11900.0,5
STB,2024-08-29,29.65,30.9,29.65,30.45,25193800,631312.0,5
STB,2024-08-30,30.55,30.65,30.35,30.55,5079700,-614345.0,5
STB,2024-09-04,30.4,30.4,29.95,30.1,9433600,129382.0,5
STB,2024-09-05,30.1,30.15,29.4,29.6,10457600,27257.0,5
STB,2024-09-06,29.55,29.9,29.5,29.9,8550100,-57969.0,5
STB,2024-09-09,29.65,29.75,29.5,29.5,4193600,-129433.0,5
STB,2024-09-10,29.7,29.75,29.15,29.2,7772100,104406.0,5
STB,2024-09-11,29.15,29.7,29.1,29.6,6358300,-41449.0,5
STB,2024-09-12,29.65,29.8,29.55,29.7,5852700,-13427.0,5
STB,2024-09-13,29.7,29.95,29.55,29.8,6158600,9522.0,5
STB,2024-09-16,29.8,29.9,29.55,29.55,4878700,-38367.0,5
STB,2024-09-17,29.65,29.85,29.45,29.85,5758400,25962.0,5
STB,2024-09-18,29.85,30.6,29.8,30.25,14764700,275944.0,5
STB,2024-09-19,30.35,30.6,30.3,30.5,7185600,-227893.0,5
STB,2024-09-20,30.7,31.3,30.6,30.85,23258900,502238.0,5
STB,2024-09-23,30.9,31.3,30.8,30.8,6037200,-534268.0,5
STB,2024-09-24,30.85,32.05,30.8,31.85,24839400,594045.0,5
STB,2024-09-25,32.0,32.7,31.85,32.7,28614000,139502.0,5
STB,2024-09-26,32.8,33.2,32.6,32.75,25838600,-67344.0,5
STB,2024-09-27,32.9,33.65,32.8,33.6,22047200,-121532.0,5
STB,2024-09-30,33.55,33.65,33.2,33.35,12432400,-316450.0,5
