symbol,time,open,high,low,close,volume,value,source_index
SSI,2024-04-19,23.54,24.13,22.92,23.02,29572429,13151.0,7
SSI,2024-04-22,23.72,24.62,23.54,24.34,19504978,-5960.0,7
SSI,2024-04-23,24.34,24.48,23.79,23.93,16746317,-6124.0,7
SSI,2024-04-24,24.27,24.93,24.2,24.72,21331306,339.0,7
SSI,2024-04-25,24.72,24.72,24.34,24.52,10581757,-1340.0,7
SSI,2024-04-26,24.17,24.52,24.06,24.41,13823733,11690.0,7
SSI,2024-05-02,24.41,24.48,23.79,24.06,12225106,-10987.0,7
SSI,2024-05-03,24.34,24.48,24.0,24.03,9167946,-1176.0,7
SSI,2024-05-06,24.27,25.0,24.24,24.72,16794167,-343.0,7
SSI,2024-05-07,24.83,24.97,24.55,24.65,8277642,1752.0,7
SSI,2024-05-08,24.41,24.9,24.34,24.72,13715391,4198.0,7
SSI,2024-05-09,24.86,24.9,24.31,24.41,15346977,-5429.0,7
SSI,2024-05-10,24.48,24.62,24.27,24.58,12122246,-881.0,7
SSI,2024-05-13,24.72,24.9,24.45,24.69,10277498,902.0,7
SSI,2024-05-14,24.72,24.9,24.52,24.62,7031709,-1441.0,7
SSI,2024-05-15,24.76,25.17,24.62,24.93,20299703,-194.0,7
SSI,2024-05-16,25.21,25.24,25.0,25.04,13621354,10396.0,7
SSI,2024-05-17,25.04,25.38,24.93,25.24,14819845,-9573.0,7
SSI,2024-05-20,25.38,25.73,25.31,25.42,19951399,7539.0,7
SSI,2024-05-21,25.35,25.52,25.17,25.52,14042089,-6738.0,7
SSI,2024-05-22,25.52,25.9,25.24,25.28,22694009,317.0,7
SSI,2024-05-23,25.24,25.45,24.86,25.45,16685615,1700.0,7
SSI,2024-05-24,25.17,25.28,24.13,24.45,28304549,1316.0,7
SSI,2024-05-27,24.45,24.62,24.13,24.34,16847120,-3472.0,7
SSI,2024-05-28,24.48,24.69,24.38,24.69,13047528,-1550.0,7
SSI,2024-05-29,24.79,24.9,24.34,24.41,13097148,8507.0,7
SSI,2024-05-30,24.27,24.31,23.79,24.17,18870788,3095.0,7
SSI,2024-05-31,24.17,24.27,24.0,24.06,8444893,-11331.0,7
SSI,2024-06-03,24.27,24.69,24.27,24.55,12490121,5273.0,7
SSI,2024-06-04,24.55,24.9,24.52,24.55,11444222,-5095.0,7
SSI,2024-06-05,24.58,24.83,24.55,24.55,14113081,697.0,7
